" 表 9-3 從事特別危害健康作業勞工之接受特殊健康檢查人數－按作業種類分 ","","","","","","","  Table 9-3 Receiving Special Health Examinations for Workers Involved in Tasks","","","","","","",""," 表 9-3 從事特別危害健康作業勞工之接受特殊健康檢查人數－按作業種類分(續) ","","","","","","","  Table 9-3 Receiving Special Health Examinations for Workers Involved in Tasks","","","","","","","",
,,,,,,,"  with Special Health Hazards by Controlled Specially Hazardous Work","","","","","","","",,,,,,,,"  with Special Health Hazards by Controlled Specially Hazardous Work(Cont.)","","","","","","","",
" ","","","","",""," 單位：人次","","","","","","","  Unit：Person-case",""," ","","","","",""," 單位：人次","","","","","","","  Unit：Person-case","",
" ","",""," 噪音在","","","","","","",""," 三氯乙烯","",""," 聯苯胺及其"," ","","",""," 二異氰酸甲","","","","",""," 鉻酸及其鹽類","","",""," 乙基汞化合物",
" ","","",""," 游離輻射"," 異常氣壓",""," 四烷基鉛"," 四氯乙烷"," 四氯化碳"," 二硫化碳",""," 二甲基甲","",""," 鈹及其 ","","","","",""," 砷及其"," 錳及其","","",""," 鎘及其",""," 鎳及其","",
" 年               別 "," 總計"," 高溫作業"," 85分貝以"," 作業"," 作業"," 鉛作業"," 作業"," 作業"," 作業"," 作業"," 、四氯乙"," 醯胺作業"," 正己烷作業"," 鹽類等六種"," 年               別 化合物作業 ","  氯乙烯作業",""," 苯作業"," 苯等三種化"," 石綿作業"," 化合物作業"," 化合物作業"," 黃磷作業"," 巴拉刈作業"," 作業、重鉻酸"," 化合物作業"," 粉塵作業"," 化合物作業"," 、汞及其無機",
" ","",""," 上之作業","","","","","","",""," 烯作業","",""," 化學物質作業"," ","","",""," 學物質作業","","","","",""," 及其鹽類作業","","",""," 化合物作業",
" ","","  High"," Noise"," Ionizing"," Abnormal",""," Tetraethyl  Tetrachloro-",""," Carbon"," Carbon"," Trichloroethy-"," Dimethyl",""," Benzidine"," Beryllium & ",""," Vinyl",""," Toluene",""," Arsenic and"," Manganium"," Yellow",""," Chromic acid"," Cadmium and",""," Nickel and"," Ethyl mercury",
" "," Grand",""," Exceeding",""," atmospheric","  Lead","","","",""," lene & tetra-","","",""," ","",""," Benzene"," diisocyanate"," Asbestos",""," and its",""," Paraquat","",""," Dusty",""," compounds and",
" Year ","  total"," temperature"," 85 Deci-Bel"," rediation"," pressure","  work"," lead"," ethane"," tetrachloride"," disulphide"," chloroethylene"," formamide"," Exane work"," and"," Year its compounds ",""," chloride"," work"," etc. 3"," work"," its compounds"," compounds"," phosphorus"," work"," and chromate"," its compounds"," work"," its compounds"," mercury and its",
" ","","  work",""," work","",""," work"," work"," work"," work",""," work",""," its salts work"," "," work","  work","","","","  work",""," work",""," work"," work",""," work","",
" ","",""," work",""," work","","","","",""," work","","",""," ","","",""," hemicals","",""," work","","","","","",""," compounds work",
"  96年  2007 ","82209","1869","36102","9271","1","8382","170","660","196","43","336","2885","1674","132","  96年  2007 ","0","981","1141","1472","69","2932","187","133","14","0","0","13559","0","0",
"  97年  2008 ","125800","6675","56715","14559","149","9970","0","1055","11","92","598","1953","2398","1630","  97年  2008 ","1","603","2167","1051","58","2543","954","17","0","0","0","22601","0","0",
"  98年  2009 ","109482","6049","52136","10219","548","7187",,,,,,,,,"  98年  2009 ","102","1353","1917","986","332","2461",,,,,,,,,
,,,,,,,"0","570","384","422","525","2222","2555","103",,,,,,,,"407","23","175","0","0","18806","0","0",
"  99年  2010 ","177170","7555","89875","17339","46","10957","0","587","334","473","756","3981","4729","430","  99年  2010 ","9","864","1787","1857","383","2664","993","113","93","0","0","31345","0","0",
" 100年  2011 ","143944","6288","73844","13141","11","6091","0","11","328","88","356","3757","4881","13"," 100年  2011 ","0","1031","2443","1256","352","1954","1053","196","38","0","0","26812","0","0",
" 101年  2012 ","168701","6525","88822","13334","20","5148","12","8","116","0","135","2758","6755","4"," 101年  2012 ","3","1294","2525","995","296","3611","518","182","132","175","18","35315","0","0",
" 102年  2013 ","275033","5129","137285","32278","19","11566","49","86","311","292","414","4387","11431","137"," 102年  2013 ","0","1167","3592","1281","116","5223","4646","157","170","2307","106","52884","0","0",
" 103年  2014 ","228290","5672","106371","28745","22","9029",,,,,,,,," 103年  2014 ","26","1277","1583","1771","46","4332",,,,,,,,,
,,,,,,,"0","117","187","258","279","4556","8455","35",,,,,,,,"2040","57","21","1975","563","48836","1844","193",
" 104年  2015 ","272993","6414","119883","33098","37","11656","0","221","291","448","374","6833","11585","284"," 104年  2015 ","60","1412","3858","2536","45","4040","3967","167","297","3630","753","55608","5193","303",
" 105年  2016 ","253250","4865","114726","31837","42","9660","0","1930","252","192","197","5414","9923","262"," 105年  2016 ","118","1106","2120","1823","148","5915","4167","169","190","2860","266","48777","5618","673",
" 資料來源： 勞動部職業安全衛生署、勞動部授權之直轄市勞動檢查機構、經濟部加工出口區管理處、科技部所屬科學 ","","","","","",""," Source：  Occupational Safety and Health Administration, MOL , the labor inspection agency which are established by municipal","","","","","","","",,,,,,,,,,,,,,,,
" 工業園區管理局。 ","","","","","","","  government, Export Processing Zone Administration, MOEA and Science Park Administration, MOST.","","","","","","","",,,,,,,,,,,,,,,,
" ","","   -236-","","","","","","","","   -237-","","","",""," ","","   -238-","","","","","","","","   -239-","","","","",
