" Year ","  班次","  人數","  班次","  人數","  班次","  人數","  班次","  人數","  班次","  人數","  班次","  人數","  班次","  人數"," ","  班次","  人數","  班次","  人數","  班次"," 人數","  班次","  人數","  班次","  人數","  班次","  人數","  班次","  人數",
" ","  Classes","  Trainees","  Classes"," Trainees"," Classes"," Trainees","  Classes","  Trainees","  Classes","  Trainees","  Classes","  Trainees","  Classes","  Trainees"," "," Classes","  Trainees","  Classes"," Trainees"," Classes"," Trainees","  Classes","  Trainees","  Classes","  Trainees","  Classes","  Trainees","  Classes","  Trainees",
" ","","","  ╰———————v———————╯","","","","","","  ╰————————v————————╯","","","","","",,,,,,,,,,,,,,,,
"  97年  2008 ","5057","163380","329","12604","760","26163","36","879","809","24595","290","8205","273","7894","  97年  2008 ","611","18166","1448","46670","489","17873","0","0","12","331","0","0","0","0",
"  98年  2009 ","4435","131439","364","13009","587","17440","34","898","689","19331","236","5749","305","7694","  98年  2009 ","529","13957","1137","35188","427","14227","2","54","25","764","100","3128","0","0",
"  99年  2010 ","4598","131714","363","12166","588","17733","37","992","741","20634","274","6511","278","6983","  99年  2010 ","593","16053","1102","31200","434","14015","0","0","25","645","163","4782","0","0",
" 100年  2011 ","5066","148764","366","11651","711","23081","31","769","829","24960","257","7261","278","6327"," 100年  2011 ","637","17454","1216","33820","513","16841","1","10","32","894","195","5696","0","0",
" 101年  2012 ","4966","141548","378","11328","761","23115","50","1248","469","11564","341","10044","264","6092"," 101年  2012 ","631","16671","1275","37292","508","16542","2","58","27","669","242","6350","18","575",
" 102年  2013 ","4876","134295","381","10408","674","19293","31","740","509","12303","243","6183","224","4617"," 102年  2013 ","706","18629","1343","39021","537","17680","3","108","22","489","159","3656","44","1168",
" 103年  2014 ","5598","156150","366","10753","740","21393","56","1201","574","13840","258","6423","235","5052"," 103年  2014 ","841","22871","1530","42362","687","24420","3","70","28","711","223","5445","57","1609",
" 104年  2015 ","5752","160505","264","8072","839","24307","40","795","577","13861","284","6805","479","12129"," 104年  2015 ","730","19144","1513","42393","676","23737","0","0","23","537","266","6908","61","1817",
" 105年  2016 ","5940","166107","276","8253","956","29725","37","755","558","12984","267","6666","421","9686"," 105年  2016 ","778","20526","1554","43172","689","23664","3","59","22","520","322","8580","57","1517",
" 資料來源： 勞動部職業安全衛生署。 ","","","","","",""," Source：  Occupational Safety and Health Administration, MOL.","","","","","","","",,,,,,,,,,,,,,,,
" 說　　明： 95年前「總計」欄含現場安全衛生監督人員安全衛生教育訓練，96年起停辦該訓練。 ","","","","","",""," Note：  Before 2006, the data of grand total included safety and health education and training for on-the-spot safety and health","","","","","","","",,,,,,,,,,,,,,,,
,,,,,,,"  supervisory personnel. Since 2007, the training was suspended.","","","","","","","",,,,,,,,,,,,,,,,
" ","","   -230-","","","","","","","","   -231-","","","",""," ","","   -232-","","","","","","","","   -233-","","","","",
