"","","  Grand total","","","  Under 15 Years","","","  Years","","","  Years","","","  Years","","","","  Years","","","  Years","","","  Years","","","  Years","","","  Years","","",""," Years","","","  Years","",""," Years & Over","",
"      Item","  計","  男","  女","  計","  男","  女","  計","  男","  女","  計","  男","  女","  計","  男","  女","      Item","  計","  男","  女","  計","  男","  女","  計","  男","  女","  計","  男","  女","  計","  男","  女","      Item"," 計","  男"," 女","  計","  男","  女","  計","  男","  女",
"","  Total","  Male","  Female","  Total","  Male","  Female","  Total","  Male","  Female","  Total","  Male","  Female","  Total","  Male","  Female","","  Total","  Male","  Female","  Total","  Male","  Female","  Total","  Male","  Female","  Total","  Male","  Female","  Total","  Male","  Female",""," Total"," Male"," Female","  Total","  Male","  Female","  Total","  Male","  Female",
"   總　　　　計","6395674","3248573","3147101","4","2","2","125714","69326","56388","598297","261237","337060","951674","477589","474085","   總　　　　計","1031570","534955","496615","1081229","552731","528498","846191","426209","419982","660989","330348","330641","512191","259598","252593","   總　　　　計","338946","184045","154901","180454","108804","71650","68415","43729","24686",
" (NT$ 57,801~72,800)     ˉ","","","","","","",,,,,,,,,," (NT$ 57,801~72,800)     ˉ","","","","","","",,,,,,,,,," (NT$ 57,801~72,800)     ˉ","","","",,,,,,,
"   72,801~87,600元","169702","124321","45381","0","0","0","0","0","0","374","169","205","5869","4141","1728","   72,801~87,600元","17554","12909","4645","37643","28070","9573","41074","29755","11319","28249","19921","8328","17901","12809","5092","   72,801~87,600元","11515","8721","2794","8517","7040","1477","1006","786","220",
" (NT$ 72,801~87,600)     ˉ","","","","","","",,,,,,,,,," (NT$ 72,801~87,600)     ˉ","","","","","","",,,,,,,,,," (NT$ 72,801~87,600)     ˉ","","","",,,,,,,
"  87,601~110,100元","115111","86192","28919","0","0","0","1","0","1","144","56","88","2302","1501","801","  87,601~110,100元","8894","6317","2577","20929","15455","5474","29167","21978","7189","22887","16690","6197","14702","10918","3784","  87,601~110,100元","8916","7067","1849","6192","5407","785","977","803","174",
" (NT$ 87,601~110,100)     ˉ","","","","","","",,,,,,,,,," (NT$ 87,601~110,100)     ˉ","","","","","","",,,,,,,,,," (NT$ 87,601~110,100)     ˉ","","","",,,,,,,
"   110,101元以上","128430","95158","33272","0","0","0","5","3","2","160","73","87","1565","1051","514","   110,101元以上","6488","4546","1942","18227","13088","5139","29966","22056","7910","29536","21763","7773","21347","15577","5770","   110,101元以上","11987","9297","2690","6947","5827","1120","2202","1877","325",
"  (Over NT$ 110,101)    ˉ","","","","","","",,,,,,,,,,"  (Over NT$ 110,101)    ˉ","","","","","","",,,,,,,,,,"  (Over NT$ 110,101)    ˉ","","","",,,,,,,
" 全年平均提繳工資(元)      ˉ","","","","","","",,,,,,,,,," 全年平均提繳工資(元)      ˉ","","","","","","",,,,,,,,,," 全年平均提繳工資(元)      ˉ","","","",,,,,,,
"","36825","40781","32739","13068","13628","12280","15429","16118","14607","22676","22018","23183","31379","32496","30261","","36190","38836","33344","40539","44983","35886","43801","50304","37198","42996","49543","36429","41025","46836","34989","","39886","44995","33697","39682","44780","31792","31792","34911","26148",
" Average Contribution Wages (NT$)      ˉ","","","","","","",,,,,,,,,," Average Contribution Wages (NT$)      ˉ","","","","","","",,,,,,,,,," Average Contribution Wages (NT$)      ˉ","","","",,,,,,,
" 資料來源：      勞動部勞工保險局。","","","","","","","  Source： Bureau of Labor Insurance, MOL.","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,
"","","   -136-","","","","","","","","","   -137-","","","","","","","   -138-","","","","","","","","","   -139-","","","","","","   -140-","","","","","   -141-","","","",
