"","  表 5-12 勞工退休金新制提繳單位及人數－按行業及規模分","","","","","","",""," Table 5-12 Number of Units and Contributors to the New Labor Pension","","","","","","","        表 5-12 勞工退休金新制提繳單位及人數－按行業及規模分(續1)","","","","","","","",""," Table 5-12 Number of Units and Contributors to the New Labor Pension","","","","","","","        表 5-12 勞工退休金新制提繳單位及人數－按行業及規模分(續2完)","","","","","",""," Table 5-12 Number of Units and Contributors to the New Labor Pension","","","","","","",
,,,,,,,,"","","","  by Industry and Scale","","","","",,,,,,,,,"","","  by Industry and Scale (Cont.1)","","","","","",,,,,,,"","","  by Industry and Scale (Cont.2)","","","","","",
"","","","  中華民國105年底","","","","  單位：家、人","","","","   End of 2016","","","  Unit：Establishment、Person","","","","","  中華民國105年底","","","","  單位：家、人","","","","   End of 2016","","","  Unit：Establishment、Person","","","","  中華民國105年底","","","  單位：家、人","","","","   End of 2016","","","  Unit：Establishment、Person","",
"","","  總　　　計","","  農、林、漁、牧業","","  礦業及土石採取業","","  製　造　業","","  電力及燃氣供應業","","  用水供應及污染整治業","","  營建工程業","","","","  批發及零售業","","  運輸及倉儲業","","  住宿及餐飲業","","  出版、影音製作、","","  金融及保險業","","  不　動　產　業","","  專業、科學及技術服務業","","","","  支援服務業",""," 公共行政及國防；強制性社會安全","","  教　育　業","","  醫療保健及社會工作服務業","","  藝術、娛樂及休閒服務業","","  其 他 服 務 業","",
"     項　　目　　別","","","","","","","",,,,,,,,,"     項　　目　　別","","","","","","","","  傳播及資通訊服務業","","","","","","","","     項　　目　　別","","","","","",,,,,,,,,
"","","","","  Agriculture,forestry, fishing &","","","","","","","","  Water supply &","","","","","","","","","","  Accommodation &","","","","  Financial &","","","","  Professional, scientific","","","","","","  Public administration & defence;","","","","  Human health &","","  Arts, entertainment","","","",
"","","  Grand total","","  animal husbandry","","  Mining & quarrying","","  Manufacturing","","  Electricity & gas supply","","  remediation activities","","  Construction","","","","  Wholesale & retail trade","","  Transportation & storage","","  food service activities","","  Information & communication","","  insurance activities","","  Real estate activities","","  & technical activities","","","","  Support service activities","","  Compulsory social security","","  Education","","  social work activities","","  & recreation","","  Other service activities","",
"        Item","","  單　位","  人  數","  單　位","  人  數","  單　位","  人  數","  單　位","  人  數","  單　位","  人  數","  單　位","  人  數","  單　位","  人  數","        Item","","  單　位","  人  數","  單　位","  人  數","  單　位","  人  數","  單　位","  人  數","  單　位","  人  數","  單　位","  人  數","  單　位","  人  數","        Item","","  單　位"," 人  數","  單　位"," 人  數","  單　位","  人  數","  單　位","  人  數","  單　位","  人  數","  單　位","  人  數",
"","","  Units","  Persons","  Units","  Persons","  Units","  Persons","  Units","  Persons","  Units","  Persons","  Units","  Persons","  Units","  Persons","","","  Units","  Persons","  Units","  Persons","  Units","  Persons","  Units","  Persons","  Units","  Persons","  Units","  Persons","  Units","  Persons","","","  Units"," Persons","  Units"," Persons","  Units","  Persons","  Units","  Persons","  Units","  Persons","  Units","  Persons",
"    400~499人"," persons","322","142949","0","0","0","0","122","54332","3","1352","1","443","10","4565","    400~499人"," persons","52","22771","19","8453","11","4865","17","7556","6","2637","4","1821","13","5845","    400~499人"," persons","30","13165","1","466","11","4956","16","7053","3","1298","3","1371",
"    500~999人"," persons","603","415058","0","0","0","0","253","174357","2","1392","3","1788","12","8336","    500~999人"," persons","85","57078","26","18328","18","11075","31","21324","38","27597","4","2441","15","10361","    500~999人"," persons","52","36065","0","0","12","8612","46","32127","1","748","5","3429",
"  1000~1999人"," persons","293","410420","0","0","0","0","108","148571","0","0","2","3152","1","1120","  1000~1999人"," persons","35","44994","18","25825","6","8688","14","20860","21","30611","0","0","13","18102","  1000~1999人"," persons","24","35609","7","10797","7","9536","33","46714","0","0","4","5841",
"  2000~2999人"," persons","68","167459","0","0","0","0","29","70492","0","0","0","0","0","0","  2000~2999人"," persons","7","16972","0","0","1","2069","1","2840","6","16109","2","5260","6","14261","  2000~2999人"," persons","3","7255","0","0","1","2974","12","29227","0","0","0","0",
"  3000~3999人"," persons","31","108137","0","0","0","0","8","27830","0","0","0","0","0","0","  3000~3999人"," persons","5","16843","2","6870","0","0","1","3950","5","17615","1","3837","3","9671","  3000~3999人"," persons","1","3730","0","0","0","0","5","17791","0","0","0","0",
"  4000~4999人"," persons","22","98500","0","0","0","0","10","45407","0","0","0","0","0","0","  4000~4999人"," persons","4","17935","2","8444","2","9669","0","0","1","4222","0","0","1","4347","  4000~4999人"," persons","0","0","0","0","0","0","2","8476","0","0","0","0",
"  5000~9999人"," persons","29","188183","0","0","0","0","11","71224","0","0","0","0","0","0","  5000~9999人"," persons","3","19532","3","21389","1","5053","2","11428","6","40568","0","0","1","6295","  5000~9999人"," persons","0","0","0","0","1","6517","1","6177","0","0","0","0",
" 10000~19999人"," persons","3","42798","0","0","0","0","2","27244","0","0","0","0","0","0"," 10000~19999人"," persons","1","15554","0","0","0","0","0","0","0","0","0","0","0","0"," 10000~19999人"," persons","0","0","0","0","0","0","0","0","0","0","0","0",
"  20000人以上"," persons & over","6","156131","0","0","0","0","3","85626","0","0","0","0","0","0","  20000人以上"," persons & over","0","0","0","0","1","20651","0","0","2","49854","0","0","0","0","  20000人以上"," persons & over","0","0","0","0","0","0","0","0","0","0","0","0",
"      其　他"," Others","0","1087","0","44","0","1","0","72","0","7","0","3","0","42","      其　他"," Others","0","75","0","55","0","77","0","50","0","51","0","25","0","49","      其　他"," Others","0","29","0","0","0","49","0","26","0","55","0","377",
"  資料來源：       勞動部勞工保險局。","","","","","","","","  Source： Bureau of Labor Insurance, MOL.","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"  說　　明：       1.本表「規模別」係指事業單位之提繳人數，而非單位員工人數。","","","","","","","","  Note： 1.The term 'Scale' refers to the number of contributors within the business entity, not the number of employees.","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"        2.其他係自營作業者，因無隸屬事業單位，故只計人數不計單位數。","","","","","","","","  2.Others refer to self-employed workers; since they are not affiliated with any business entities, they are calculated by the","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"        3.依據「中華民國行業標準分類（第10次修訂）」編製。 ˉ","","","","","","","","     number of persons and not by the number of business units.","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,"  3.Data series were classified refer to Standard Industrial Classification System of R.O.C, Rev.10.","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"","","","   -130-","","","","","","","","   -131-","","","","","","","","   -132-","","","","","","","","   -133-","","","","","","","","  -134-","","","","","","   -135-","","","","",
