" Year ","","","   Dispute over","",""," Termination","","","","","","","","","","","","","","","","","","  Overtime payment","","","","  Dispute over",""," Year ","  Dispute over","","","  Retirement pension","","","","     Dispute over","","   Year-end bonus","","","","  Dispute over","","","","  Insurance benefit","","","","   Dispute over","","","  occupational","","","  Dispute over",""," Year ","  Dispute over","",""," employment","","",""," Dispute over","","","  Dispute over","","  dispute","","  Involvement rate","","","","","","","",
" ","  Cases of dispute","","  labor contracts","",""," of contracts","",""," Payment of dismisal","","",""," Dispute over wages","","",""," Content of wages","","","  Arrear wages","","","","     and man-hour","","","","    work hour",""," ","    retirement","","","           payment","","","","   welfare benefits","","         payment","","","","  labor insurance","","","","","  payment","","","   management","","",""," hazards","","  safety and health",""," ","  union","","  discrimination","","","",""," mass dismiss","","","  other issues","","  (Worker)","","  （"," o /oo ）","  Conciliation","","  Mediation","","  Arbitration","",
"  83年  1994 ","2061","   (2,021)","931","     (912)","322","","     (319)","","572","","     (557)","","643","     (635)","","54","","      (51)","","487","","      (483)","","115","","     (112)","","27","      (27) ˉ","  83年  1994 ","210","      (206)","","150","","     (148)","","55","      (54)","31","","      (31)  ˉ","","105","","     (100)","","60","","      (58)  ˉ","","64","      (59)","","295","","     (288)  ˉ","0","0","  83年  1994 ","3","       (3)",""," ...",""," ...",""," ...",""," ...","18","      (18)","30890","  (30,526)","5.01","    (4.96)","1852","   (1,812)","244","     (244)","0","0",
"  84年  1995 ","2271","   (2,211)","962","     (934)","321","","     (316)","","585","","     (565)","","761","     (747)","","38","","      (36)","","655","","      (647)","","70","","      (66)","","17","      (15) ˉ","  84年  1995 ","257","      (246)","","192","","     (184)","","50","      (49)","30","","      (29)  ˉ","","100","","      (92)","","55","","      (50)  ˉ","","90","      (84)","","272","","     (265)  ˉ","0","0","  84年  1995 ","2","       (2)",""," ...",""," ...",""," ...",""," ...","12","      (12)","27342","  (27,232)","4.37","    (4.35)","2039","   (1,982)","201","     (201)","0","0",
"  85年  1996 ","2659","   (2,581)","1271","   (1,228)","409","","     (402)","","830","","     (804)","","891","     (874)","","30","","      (28)","","767","","      (753)","","81","","      (81)","","15","      (13) ˉ","  85年  1996 ","239","      (225)","","170","","     (160)","","32","      (31)","25","","      (24)  ˉ","","98","","      (90)","","57","","      (52)  ˉ","","62","      (60)","","262","","     (254)  ˉ","0","0","  85年  1996 ","1","       (1)",""," ...",""," ...",""," ...",""," ...","75","      (75)","21654","  (20,082)","3.44","    (3.19)","2431","   (2,351)","241","     (241)","0","0",
"  86年  1997 ","2600","   (2,532)","1172","   (1,139)","457","","     (442)","","678","","     (660)","","738","     (725)","","58","","      (54)","","601","","      (593)","","74","","      (74)","","18","      (17) ˉ","  86年  1997 ","251","      (243)","","182","","     (177)","","24","      (24)","18","","      (18)  ˉ","","100","","      (93)","","50","","      (45)  ˉ","","64","      (62)","","367","","     (356)  ˉ","0","0","  86年  1997 ","5","       (5)",""," ...",""," ...",""," ...",""," ...","59","      (58)","81004","  (80,816)","12.61","   (12.58)","2230","   (2,163)","344","     (344)","0","0",
"  87年  1998 ","4138","   (4,043)","1945","   (1,890)","844","","     (829)","","1135","","   (1,101)","","1321","   (1,293)","","119","","     (115)","","1061","","    (1,039)","","122","","     (118)","","36","      (36) ˉ","  87年  1998 ","306","      (300)","","238","","     (233)","","67","      (67)","39","","      (39)  ˉ","","121","","     (114)","","52","","      (48)  ˉ","","81","      (81)","","493","","     (483)  ˉ","1","       (1)  ˉ","  87年  1998 ","5","       (5)",""," ...",""," ...",""," ...",""," ...","89","      (88)","103568"," (103,206)","15.8","   (15.74)","3641","   (3,547)","461","     (461)","0","0",
"  88年  1999 ","5860","   (5,806)","2976","   (2,941)","1209","","   (1,201)","","1915","","   (1,893)","","1953","   (1,942)","","149","","     (145)","","1615","","    (1,609)","","200","","     (199)","","28","      (28) ˉ","  88年  1999 ","363","      (358)","","275","","     (273)","","56","      (56)","28","","      (28)  ˉ","","125","","     (120)","","63","","      (59)  ˉ","","103","     (103)","","656","","     (651)  ˉ","0","0","  88年  1999 ","3","       (3)",""," ...",""," ...",""," ...",""," ...","153","     (152)","30440","  (30,363)","4.6","    (4.58)","4861","   (4,803)","946","     (946)","0","0",
"  89年  2000 ","8026","   (6,579)","3921","   (3,155)","1380","","   (1,194)","","2772","","   (2,137)","","3127","   (2,611)","","187","","     (148)","","2622","","    (2,197)","","360","","     (299)","","63","      (51) ˉ","  89年  2000 ","512","      (404)","","424","","     (339)","","100","      (84)","60","","      (50)  ˉ","","196","","     (144)","","85","","      (64)  ˉ","","134","     (121)","","850","","     (713)  ˉ","0","0","  89年  2000 ","4","       (4)",""," ...",""," ...",""," ...",""," ...","269","     (212)","56543","  (53,790)","8.38","    (7.97)","6603","   (5,192)","1445","   (1,445)","0","0",
"  90年  2001 ","10955","   (7,405)","6187","   (4,196)","1682","","   (1,263)","","4779","","   (3,064)","","3895","   (2,727)","","279","","     (179)","","3215","","    (2,248)","","385","","     (307)","","117","      (83) ˉ","  90年  2001 ","613","      (403)","","525","","     (357)","","93","      (79)","47","","      (45)  ˉ","","230","","     (153)","","86","","      (65)  ˉ","","199","     (127)","","814","","     (554)  ˉ","0","0","  90年  2001 ","2","       (2)",""," ...",""," ...",""," ...",""," ...","462","     (287)","58643","  (51,961)","8.72","    (7.72)","8807","   (5,229)","2170","   (2,170)","0","0",
"  91年  2002 ","14017","   (9,392)","7514","   (5,048)","1803","","   (1,162)","","5999","","   (3,939)","","6190","   (4,256)","","886","","     (612)","","4941","","    (3,313)","","684","","     (495)","","185","     (126) ˉ","  91年  2002 ","643","      (425)","","533","","     (356)","","280","     (236)","153","","     (138)  ˉ","","427","","     (304)","","160","","     (110)  ˉ","","308","     (220)","","824","","     (534)  ˉ","0","0","  91年  2002 ","6","       (5)","2","","       (2)","","1","","       (1)  ˉ","","1271","     (925)","105714","  (97,436)","15.61","   (14.39)","11795","   (7,205)","2050","   (2,050)","2","       (1)  ˉ",
"  92年  2003 ","12204","   (6,892)","6427","   (3,640)","1446","","     (744)","","4860","","   (2,858)","","5536","   (3,042)","","1077","","     (783)","","4126","","    (2,064)","","585","","     (356)","","120","      (82) ˉ","  92年  2003 ","507","      (335)","","428","","     (283)","","234","     (186)","140","","     (127)  ˉ","","322","","     (180)","","124","","      (63)  ˉ","","198","     (148)","","866","","     (565)  ˉ","0","0","  92年  2003 ","4","       (4)","8","","       (8)","","0","","0","","1634","   (1,156)","28821","  (20,815)","4.18","    (3.02)","10559","   (5,224)","1933","   (1,933)","0","0",
