" ","","   3-5 戮穨穦戮穨だ","","","","","","","","","","","","  Table 3-5 Professional Unions by Occupation","","","","","","","","",
" ","","","","","","","","","  虫產","","","","","","","","","","","   UnitEstablishmentPerson","","",
" ",""," Grand total","       workers","","  senior officials","","  Professionals","","      associate","","  support workers","","  sales workers","","  forestry &","","  trades workers","","   operators &","","   labourers","",
" ","","","","","  & managers","","","","    professionals","","","","","","  fishery workers","","","","   assemblers","","","",
" ","  穦计","  穦计","  穦计","  穦计","  穦计","  穦计","  穦计","  穦计","  穦计","  穦计","  穦计","  穦计","  穦计","  穦计","  穦计","  穦计","  穦计","   穦计","  穦计","   穦计","  穦计","  穦计",
" End of year ","","","","","","","","","","",,,,,,,,,,,,,
" ","  Unions","  Members","  Unions","  Members","  Unions","  Members","  Unions","  Members","  Unions","  Members","  Unions","  Members","  Unions","  Members","  Unions","  Members","  Unions","   Members","  Unions","   Members","   Unions","  Members",
" 101┏  End of 2012 ","4016","2798502","25","52477","1","81","311","173723","426","133790","149","33501","1004","616157","107","64988","1096","1033819","369","430348","528","259618",
" 102┏  End of 2013 ","4064","2742950","24","49689","1","81","328","179236","431","135630","150","33575","1015","619618","111","62397","1104","1001557","369","409808","531","251359",
" 103┏  End of 2014 ","4088","2725373","24","49603","1","81","339","183482","430","139875","152","33970","1025","623549","111","61715","1105","989100","367","396130","534","247868",
" 104┏  End of 2015 ","4105","2724020","24","49560","1","687","341","193120","424","145972","153","35672","1043","634787","111","60931","1110","970743","367","385650","531","246898",
" 105┏  End of 2016 ","4127","2715200","24","49379","1","687","348","196827","426","148361","154","38621","1051","639417","111","60040","1115","958583","363","377269","534","246016",
" 戈ㄓ方 骋笆场骋笆闽玒 ","","","","","","","","","","","  Source","  The Department of Employment Relations, MOL.","","","","","","","","","","",
" 弧 1.セ戈90玡ぃ郡の硈郡 ","","","","","","","","","","","  Note","  1.Series data exclude Kinmen County and Lienchiang County before 2001.","","","","","","","","","","",
" 2.101癬ㄌ沮い地チ瓣戮穨夹非だ摸材6Ω璹絪籹＜ ","","","","","","","","","","","","  2.Data series were classified from 2012 refer to Standard Occupational Classification System of R.O.C, Rev.6.","","","","","","","","","","",
" ","","","","    -48-","","","","","","","","","","","","    -49-","","","","","","",
