" ",""," 表 3-11 勞資爭議案件─按行業分","","","","","","","","","","","","","",""," Table 3-11 Labor-Management Disputes by Industry","","","","","","","","","","",""," ","  表 3-11 勞資爭議案件─按行業分(續)","","","","","","","","","","","","","   Table 3-11 Labor-Management Disputes by Industry (Cont.)","","","","","","","","","","","","",
" ","","","","","",""," Agriculture,  forestry,","","","","","","","","","","   Electricity,","","","","","","","","","","    Accommodation &",""," ","  Transportation, storage","","   Finance &","","  Real estate & rental","","","  Professional, scientific","","","","  Educational","","","  Health care & social","","","    Cultural,  sporting &","","","","","","",""," Public",
" Year ","",""," Grand total","","","","","","","","  Mining & quarrying","",""," Manufacturing","","","","","","    Construction","","","","  Trade","","","",""," Year ","","","","","","","","","","","","","","","","","","","","",""," Other services","","","","",
" ","","","","","","  fishing & animal husbandry","","","","","","","","","","","   gas & water","","","","","","","","","","   eating-drinking places",""," ","  & communications","","   insurance","","  & leasing","","","  & technical services","","","","  services","","","   welfare services","","","    recreational services","","","","","","","    administration","",
"  91年  2002 ","","14017","","   (9,392)  ˉ","","","43","       (32)","","","29","       (14)","4393","","   (2,499)","","28","      (17)","","810","      (579)","","2415","","   (1,821)","","647","      (429)","  91年  2002 ","804","     (554)","399","     (298)","209","     (153)","","1073","      (748)","","441","","     (254)","","468","     (340)","","482","      (378)","","1697","","   (1,205)","","79","        (71)",
"  92年  2003 ","","12204","","   (6,892)  ˉ","","","70","       (44)","","","40","       (22)","3585","","   (1,766)","","62","      (44)","","692","      (422)","","2195","","   (1,320)","","653","      (366)","  92年  2003 ","635","     (368)","299","     (170)","140","      (67)","","752","      (425)","","354","","     (182)","","589","     (419)","","359","      (234)","","1740","","   (1,013)","","39","        (30)",
"  93年  2004 ","","10838","","   (5,827)  ˉ","","","37","       (25)","","","36","       (26)","3091","","   (1,429)","","27","      (19)","","647","      (361)","","2101","","   (1,128)","","563","      (297)","  93年  2004 ","582","     (320)","279","     (168)","154","     (100)","","665","      (383)","","341","","     (163)","","462","     (318)","","313","      (197)","","1486","","     (845)","","54","        (48)",
"  94年  2005 ","","14256","","   (8,173)  ˉ","","","52","       (35)","","","30","       (13)","4329","","   (2,225)","","33","      (16)","","823","      (492)","","2838","","   (1,804)","","717","      (371)","  94年  2005 ","868","     (522)","395","     (252)","203","     (114)","","897","      (583)","","427","","     (225)","","558","     (374)","","429","      (289)","","1610","","     (818)","","47","        (40)",
"  95年  2006 ","","15464","","  (10,105)  ˉ","","","60","       (46)","","","23","       (16)","3590","","   (1,832)","","27","      (15)","","920","      (633)","","3448","","   (2,258)","","951","      (597)","  95年  2006 ","887","     (668)","416","     (324)","263","     (164)","","895","      (645)","","494","","     (308)","","727","     (531)","","373","      (273)","","2341","","   (1,757)","","49","        (38)",
"  96年  2007 ","","19729","","  (10,188)  ˉ","","","63","       (37)","","","31","       (21)","4079","","   (1,797)","","39","      (25)","","1095","      (571)","","4491","","   (1,940)","","1295","      (597)","  96年  2007 ","1109","     (608)","402","     (232)","372","     (145)","","1164","      (605)","","596","","     (277)","","1001","     (700)","","438","      (214)","","3502","","   (2,381)","","52","        (38)",
"  97年  2008 ","","24540","","  (11,074)  ˉ","","","58","       (32)","","","36","       (25)","5952","","   (2,573)","","48","      (37)","","1417","      (711)","","5681","","   (2,248)","","1613","      (614)","  97年  2008 ","1321","     (643)","437","     (245)","592","     (261)","","1230","      (570)","","780","","     (350)","","665","     (342)","","501","      (254)","","4115","","   (2,107)","","94","        (62)",
