,總計,性別_男,性別_女,身分別_工會,身分別_勞工
總計,36582,20397,16185,242,36340
農、林、漁、牧業,212,114,98,0,212
礦業及土石採取業,47,36,11,0,47
製造業,7632,4670,2962,54,7578
電力及燃氣供應業,54,48,6,7,47
用水供應及污染整治業,329,199,130,0,329
營建工程業,2786,2300,486,0,2786
批發及零售業,8129,3895,4234,5,8124
運輸及倉儲業,1759,1494,265,105,1654
住宿及餐飲業,3028,1401,1627,3,3025
出版、影音製作、傳播及資通訊服務業,921,470,451,4,917
金融及保險業,872,394,478,5,867
不動產業,766,435,331,0,766
專業、科學及技術服務業,1464,720,744,0,1464
支援服務業,3555,2297,1258,0,3555
公共行政及國防；強制性社會安全,203,123,80,1,202
教育業,1065,374,691,56,1009
醫療保健及社會工作服務業,1152,208,944,1,1151
藝術、娛樂及休閒服務業,409,202,207,0,409
其他服務業,2199,1017,1182,1,2198
