"  表 4-3 積欠工資墊償基金各業應提繳單位數及人數－按地區及行業分","","","","","","","","  Table 4-3 Number of Entities and Persons with Required Contribution to the","","","","","","","","  表 4-3 積欠工資墊償基金各業應提繳單位數及人數－按地區及行業分(續1)","","","","","","","","  Table 4-3 Number of Entities and Persons with Required Contribution to the","","","","","","","","  表 4-3 積欠工資墊償基金各業應提繳單位數及人數－按地區及行業分(續2完)","","","","","","  Table 4-3 Number of Entities and Persons with Required Contribution to the","","","","","","","",
,,,,,,,,"","  Arrear Wage Payment Fund by Area and Industry","","","","","","",,,,,,,,,"","  Arrear Wage Payment Fund by Area and Industry (Cont.1)","","","","","","",,,,,,,"","  Arrear Wage Payment Fund by Area and Industry (Cont.2)","","","","","","",
"","","","  中華民國105年底","","","","  單位：家、人","","","","   End of 2016","","","  Unit：Establishment、Person","","","","","  中華民國105年底","","","","  單位：家、人","","","","   End of 2016","","","  Unit：Establishment、Person","","","","  中華民國105年底","","","  單位：家、人","","","","   End of 2016","","","  Unit：Establishment、Person","",
"","","  總　　　計","","  農、林、漁、牧業","","  礦業及土石採取業","","  製　造　業","","  電力及燃氣供應業","","  用水供應及污染整治業","","  營建工程業","","","","  批發及零售業","","  運輸及倉儲業","","  住宿及餐飲業","","  出版、影音製作、","","  金融及保險業","","  不　動　產　業","","  專業、科學及技術服務業","","","","  支援服務業",""," 公共行政及國防；強制性社會安全","","  教　育　業","","  醫療保健及社會工作服務業","","  藝術、娛樂及休閒服務業","","  其 他 服 務 業","",
"  地　　區　　別","","","","","","","",,,,,,,,,"  地　　區　　別","","","","","","","","  傳播及資通訊服務業","","","","","","","","  地　　區　　別","","","","","",,,,,,,,,
"","","","","  Agriculture,forestry, fishing &","","","","","","","","  Water supply &","","","","","","","","","","  Accommodation &","","","","  Financial &","","","","  Professional, scientific","","","","","","  Public administration & defence;","","","","  Human health &","","  Arts, entertainment","","","",
"","","  Grand total","","  animal husbandry","","  Mining & quarrying","","  Manufacturing","","  Electricity & gas supply","","  remediation activities","","  Construction","","","","  Wholesale & retail trade","","  Transportation & storage","","  food service activities","","  Information & communication","","  insurance activities","","  Real estate activities","","  & technical activities","","","","  Support service activities","","  Compulsory social security","","  Education","","  social work activities","","  & recreation","","  Other service activities","",
"","  Area","  單 位 數","  人  數","  單 位 數","  人  數","  單 位 數","  人  數","  單 位 數","  人  數","  單 位 數","  人  數","  單 位 數","  人  數","  單 位 數","  人  數","","  Area","  單 位 數","  人  數","  單 位 數","  人  數","  單 位 數","  人  數","  單 位 數","  人  數","  單 位 數","  人  數","  單 位 數","  人  數","  單 位 數","  人  數","","  Area"," 單 位 數"," 人  數","  單 位 數"," 人  數","  單 位 數","  人  數","  單 位 數","  人  數","  單 位 數","  人  數","  單 位 數","  人  數",
"","","  Units","  Persons","  Units","  Persons","  Units","  Persons","  Units","  Persons","  Units","  Persons","  Units","  Persons","  Units","  Persons","","","  Units","  Persons","  Units","  Persons","  Units","  Persons","  Units","  Persons","  Units","  Persons","  Units","  Persons","  Units","  Persons","","","  Units"," Persons","  Units"," Persons","  Units","  Persons","  Units","  Persons","  Units","  Persons","  Units","  Persons",
" 　苗 栗 縣"," Miaoli County","6790","98835","34","283","28","992","1503","50002","8","869","59","413","963","5623"," 　苗 栗 縣"," Miaoli County","1682","10855","125","1489","328","2920","41","672","50","692","172","880","258","5014"," 　苗 栗 縣"," Miaoli County","194","3873","80","2185","365","2866","456","6274","72","755","372","2178",
" 　彰 化 縣"," Changhwa County","26009","289776","88","794","5","27","10467","171609","23","879","175","1304","1608","7381"," 　彰 化 縣"," Changhwa County","7930","49500","224","2957","741","5815","96","1395","149","2674","341","1497","688","3640"," 　彰 化 縣"," Changhwa County","379","4277","120","3510","811","6760","1184","20091","110","749","870","4917",
" 　南 投 縣"," Nantou County","5267","63714","58","565","20","150","885","25233","11","671","49","553","529","2276"," 　南 投 縣"," Nantou County","1445","9317","67","693","387","4753","32","664","64","709","102","564","203","1123"," 　南 投 縣"," Nantou County","102","873","96","2177","342","2551","454","7300","51","717","370","2825",
" 　雲 林 縣"," Yunlin County","6594","99378","84","597","13","47","1137","50738","9","796","70","529","928","5884"," 　雲 林 縣"," Yunlin County","1787","12592","106","1853","280","2190","35","1544","65","701","151","772","196","1387"," 　雲 林 縣"," Yunlin County","156","1543","92","3029","437","3480","600","8313","46","623","402","2760",
" 　嘉 義 縣"," Chiayi County","4627","67975","47","649","2","22","1109","31751","11","121","48","303","564","3049"," 　嘉 義 縣"," Chiayi County","1417","9899","55","401","180","1473","20","2443","29","212","50","115","87","631"," 　嘉 義 縣"," Chiayi County","101","3183","69","2359","266","2796","334","6311","16","166","222","2091",
" 　屏 東 縣"," Pingtung County","7838","84646","155","1532","17","107","861","23706","19","759","91","880","838","4194"," 　屏 東 縣"," Pingtung County","2597","17437","87","1582","516","5351","44","876","86","992","128","637","251","1168"," 　屏 東 縣"," Pingtung County","162","1696","129","3518","496","3810","749","11482","88","1527","524","3392",
" 　臺 東 縣"," Taitung County","2441","20059","92","331","16","210","100","597","2","22","19","375","258","1105"," 　臺 東 縣"," Taitung County","659","3582","39","610","247","2861","15","304","40","265","58","223","88","525"," 　臺 東 縣"," Taitung County","102","632","69","1607","149","988","202","3815","35","256","251","1751",
" 　花 蓮 縣"," Hwalien County","4722","44895","74","298","60","361","343","6276","9","271","44","438","601","3232"," 　花 蓮 縣"," Hwalien County","1377","8221","112","1227","416","4835","39","656","54","919","141","479","178","979"," 　花 蓮 縣"," Hwalien County","172","1307","90","2063","238","1503","322","7941","56","1106","396","2783",
" 　澎 湖 縣"," Penghu County","972","7280","180","376","1","1","34","334","4","186","4","75","93","368"," 　澎 湖 縣"," Penghu County","182","974","34","445","71","863","12","104","10","238","14","30","18","45"," 　澎 湖 縣"," Penghu County","58","331","47","1282","55","294","78","787","21","98","56","449",
" 　基 隆 市"," Keelung City","4448","41659","45","112","0","0","317","7086","5","623","44","464","551","3040"," 　基 隆 市"," Keelung City","1211","6065","713","8770","180","1665","39","697","26","871","86","429","178","815"," 　基 隆 市"," Keelung City","121","973","50","1521","221","1843","309","4966","47","450","305","1269",
" 　新 竹 市"," Hsinchu City","9156","246390","32","334","6","49","1340","148648","7","592","100","2300","855","8104"," 　新 竹 市"," Hsinchu City","2861","29403","105","3833","618","6518","205","4789","147","2658","347","2157","666","12176"," 　新 竹 市"," Hsinchu City","298","7383","41","1383","441","5648","520","7023","74","946","493","2446",
" 　嘉 義 市"," Chiayi City","4982","46477","19","292","1","1","469","6208","7","381","19","472","430","2242"," 　嘉 義 市"," Chiayi City","1811","11906","56","1353","366","3955","55","1100","74","1302","184","582","263","1088"," 　嘉 義 市"," Chiayi City","154","1904","29","923","224","2422","417","8786","45","415","359","1145",
" 　金 門 縣"," Kinmen County","902","9406","18","43","1","1","48","1773","2","163","6","115","151","626"," 　金 門 縣"," Kinmen County","206","1087","58","771","50","476","6","124","8","116","50","218","31","224"," 　金 門 縣"," Kinmen County","61","677","48","1639","42","359","62","669","7","84","47","241",
" 　連 江 縣"," Lienchiang County","159","1158","6","13","0","0","1","117","1","42","2","40","36","147"," 　連 江 縣"," Lienchiang County","18","79","19","188","5","14","3","18","1","3","0","0","5","23"," 　連 江 縣"," Lienchiang County","13","65","21","273","9","35","4","62","1","2","14","37",
"  資料來源：","  勞動部勞工保險局。","","","","","","","  Source：Source： Bureau of Labor Insurance, MOL.Bureau of Labor Insurance, MOL.","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"  說　　明：","  依據「中華民國行業標準分類（第10次修訂）」編製。 ˉ","","","","","","","  Note： Data series were classified refer to Standard Industrial Classification System of R.O.C, Rev.10.","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"","","","    -82-","","","","","","","","    -83-","","","","","","","","    -84-","","","","","","","","    -85-","","","","","","","","   -86-","","","","","","    -87-","","","","",
