" 表 4-2 積欠工資墊償基金各業應提繳單位數及人數 ","","","","","","","","","","  Table 4-2 Number of Entities and Persons with Required Contribution","","","","","","","","","",""," 表 4-2 積欠工資墊償基金各業應提繳單位數及人數(續1) ","","","","","","","","","","  Table 4-2 Number of Entities and Persons with Required Contribution","","","","","","","","","",""," 表 4-2 積欠工資墊償基金各業應提繳單位數及人數(續2完) ","","","","","","","","","","  Table 4-2 Number of Entities and Persons with Required Contribution","","","","","","","","","","",
,,,,,,,,,"","","","","  to the Arrear Wage Payment Fund by Industry","","","","","","","",,,,,,,,,,"","","  to the Arrear Wage Payment Fund by Industry (Cont.1)ˉ","","","","","","","","","",,,,,,,,,,"","","  to the Arrear Wage Payment Fund by Industry (Cont.2)","","","","","","","","","",
" ","","","","","","","","  單位：家、人","","","","","","","","","","","  Unit：Establishment、Person",""," ","","","","","","","","  單位：家、人","","","","","","","","","","","  Unit：Establishment、Person",""," ","","","","","","","","  單位：家、人","","","","","","","","","","","  Unit：Establishment、Person","",
"  88年底 ","","","","","","","","","","665","","6644","","105794","","2177475","","224","","27620","  88年底  End of 1999 ","","31953","","259365","","140853","","1075277","","","9596","","","212158","","","10872","","","343712","  88年底  End of 1999 ","","","22729","","231150","","","30985","","","","433506","","","","2033","","","","54224",
"  89年底  End of 2000 ","","362702","","5002565","","1530","","13093","","611","","6082","","104514","","2208483","","228","","27288","  89年底  End of 2000 ","","32222","","252476","","142840","","1129085","","","9800","","","223429","","","10472","","","346973","  89年底  End of 2000 ","","","24886","","276657","","","33344","","","","461062","","","","2255","","","","57937",
"  90年底  End of 2001 ","","360800","","4791431","","1518","","11972","","563","","5181","","101582","","2024293","","234","","26039","  90年底  End of 2001 ","","31587","","239609","","142513","","1113426","","","9907","","","216101","","","9912","","","339862","  90年底  End of 2001 ","","","25444","","284178","","","35061","","","","465911","","","","2479","","","","64859",
" ","","","  總　計","","","  農、林、漁、牧業","","","","  礦業及土石採取業","","","","  製   造   業","","","","","  水 電 燃 氣 業",""," ","","  營   造   業","","  批 發 及 零 售 業","","","  住 宿 及 餐 飲 業","","","  運輸、倉儲及通信業","","","","  金融及保險業","","","","","  不動產及租賃業",""," ","  專業、科學及技術服務業","","","  教育服務業","","","  醫療保健及社會福利服務業","","","  文化、運動及休閒服務業","","","","  其他服務業","","","","","  公  共  行  政  業","",
" 年    底    別 ","","","","","","","","",,,,,,,,,,,,," 年    底    別 ","","","","","","","","",,,,,,,,,,,,," 年    底    別 ","","","","","","","","",,,,,,,,,,,,,
" ","","","  Grand total","","  Agriculture, forestry, fishing & animal husbandry","","","","","  Mining & quarrying","","","","  Manufacturing","","","","","  Electricity, gas & water",""," ","","  Construction","","  Trade","","","    Accommodation &","","","  Transportation, storage &","","","","  Finance & insurance","","","","  Real estate & rental & leasing","",""," ","  Professional, scientific &","","","  Educational","","","  Health care & social","","","   Cultural, sporting &","","","","  Other services","","","","","  Public administration","",
,,,,,,,,,,,,,,,,,,,,," ","","","","","","","  eating-drinking places","","","  communications","","","","","","","","","",""," ","      technical services","","","     services","","","     welfare services","","","  recreational services","","","","","","","","","","",
" End of year ","","  單 位 數",""," 人  數",""," 單 位 數","","  人  數",""," 單 位 數","","  人  數","","  單 位 數","","  人  數","","  單 位 數","","  人  數"," End of year ","  單 位 數","","  人  數","  單 位 數","  人  數","","  單 位 數","  人  數",""," 單 位 數","","  人  數","","  單 位 數","","  人  數","","  單 位 數","","  人  數"," End of year ","  單 位 數","","  人  數","  單 位 數","  人  數","","  單 位 數","  人  數",""," 單 位 數","","  人  數","","  單 位 數","","  人  數","","  單 位 數","","  人  數",
" ","","  Units",""," Persons","","  Units","","  Persons","","  Units","","  Persons","","  Units","","  Person","","  Units","","  Persons"," ","  Units","","  Persons","  Units","  Persons","","  Units","  Persons","","  Units","","  Persons","","  Units","","  Persons","","  Units","","  Persons"," ","  Units","","  Persons","  Units","  Persons","","  Units","  Persons","","  Units","","  Persons","","  Units","","  Persons","","  Units","","  Persons",
"  91年底  End of 2002 ","","363578","","4941634","","1406","","12307","","530","","4784","","99570","","2083535","","239","","27133","  91年底  End of 2002 ","31264","","231844","140029","1076524","","6056","110272","","10072","","223612","","4701","","309825","","6361","","54953","  91年底  End of 2002 ","22809","","232582","8460","74045","","14082","189830","","4149","","87670","","11422","","160115","","2428","","62603",
