" 表 6-1 勞工保險投保單位數及人數－按行業分 ","","","","","","","","","","  Table 6-1 Insured Units and Persons under Labor Insurance by Industry","","","","","","","","","",""," 表 6-1 勞工保險投保單位數及人數－按行業分(續1) ","","","","","","","","","","  Table 6-1 Insured Units and Persons under Labor Insurance by Industry (Cont.1)","","","","","","","","","",""," 表 6-1 勞工保險投保單位數及人數－按行業分(續2完) ","","","","","","","","","","  Table 6-1 Insured Units and Persons under Labor Insurance by Industry (Cont.2)","","","","","","","","","","",
"  90年底  End of 2001 ","","399303","","7779127","","1739","","341439","","604","","6360","","105933","","2690549","","245","","29021","  90年底  End of 2001 ","","35971","","676786","","157102","","1406212","","","10586","","","523369","","","10472","","","373678","  90年底  End of 2001 ","","","27865","","371024","","","45868","","","","1223069","","","","2918","","","","137620",
" ","","","  總　計","","","  農、林、漁、牧業","","","","  礦業及土石採取業","","","","  製   造   業","","","","","  水 電 燃 氣 業",""," ","","  營   造   業","","  批 發 及 零 售 業","","","  住 宿 及 餐 飲 業","","","  運輸、倉儲及通信業","","","","  金融及保險業","","","","","  不動產及租賃業",""," ","  專業、科學及技術服務業","","","  教育服務業","","","  醫療保健及社會福利服務業","","","  文化、運動及休閒服務業","","","","  其他服務業","","","","","  公  共  行  政  業","",
" 年　底　別 ","","","","","","","","",,,,,,,,,,,,," 年　底　別 ","","","","","","","","",,,,,,,,,,,,," 年　底　別 ","","","","","","","","",,,,,,,,,,,,,
" ","","","  Grand total","","  Agriculture, forestry, fishing & animal husbandry","","","","","  Mining & quarrying","","","","  Manufacturing","","","","","  Electricity, gas & water",""," ","","  Construction","","  Trade","","","    Accommodation &","","","  Transportation, storage","","","","  Finance & insurance","","","","  Real estate & rental & leasing","",""," ","  Professional, scientific &","","","  Educational","","","  Health care & social","","","   Cultural, sporting &","","","","  Other services","","","","","  Public administration","",
,,,,,,,,,,,,,,,,,,,,," ","","","","","","","  eating-drinking places","","","  & communications","","","","","","","","","",""," ","      technical services","","","     services","","","     welfare services","","","  recreational services","","","","","","","","","","",
" End of year ","","  單 位 數",""," 人  數","","  單 位 數","","  人  數",""," 單 位 數","","  人  數","","  單 位 數","","  人  數","","  單 位 數","","  人  數"," End of year ","  單 位 數","","  人  數","  單 位 數","  人  數","","  單 位 數","  人  數",""," 單 位 數","","  人  數","","  單 位 數","","  人  數","","  單 位 數","","  人  數"," End of year ","  單 位 數","","  人  數","  單 位 數","  人  數","","  單 位 數","  人  數",""," 單 位 數","","  人  數","","  單 位 數","","  人  數","","  單 位 數","","  人  數",
" ","","  Units",""," Persons","","  Units","","  Persons","","  Units","","  Persons","","  Units","","  Persons","",""," Units","  Persons"," ","  Units","","  Persons","  Units","  Persons","","  Units","  Persons","","  Units","","  Persons","","  Units","","  Persons","",""," Units","  Persons"," ","  Units","","  Persons","  Units","  Persons","","  Units","  Persons","","  Units","","  Persons","","  Units","","  Persons","",""," Units","  Persons",
"  91年底  End of 2002 ","","404452","","7857842","","1606","","355547","","566","","5856","","104217","","2700285","","247","","28640","  91年底  End of 2002 ","35990","","678839","155357","1233981","","6728","260381","","10738","","504982","","4921","","324878","","6942","","76400","  91年底  End of 2002 ","25114","","298201","9515","117470","","15296","228953","","4887","","149684","","19493","","770346","","2835","","123399",
"  92年底  End of 2003 ","","413792","","8102570","","1645","","361899","","541","","5556","","103506","","2745176","","251","","28667","  92年底  End of 2003 ","36223","","674535","159580","1298189","","7174","263978","","10882","","496157","","5214","","329100","","7239","","82453","  92年底  End of 2003 ","26376","","325787","10002","124974","","16404","245579","","5161","","153551","","20765","","800396","","2829","","166573",
"  93年底  End of 2004 ","","429030","","8341927","","1626","","362052","","512","","5511","","103765","","2810895","","248","","28029","  93年底  End of 2004 ","36908","","682428","166270","1376668","","7926","277649","","11098","","501756","","5662","","339268","","8164","","92369","  93年底  End of 2004 ","28154","","345262","10601","131515","","17723","263647","","5308","","153961","","22264","","830009","","2801","","140908",
