" ","  表 15-5 主要國家罷工及停工","","","","","","","","","",""," Table 15-5 Strikes and Stoppages in Major Countries","","","","","","",""," ","  表 15-5 主要國家罷工及停工 (續)","","","","","",""," Table 15-5 Strikes and Stoppages in Major Countries(Cont.)  ˉ","","","","",
" ","","","","","","  單位：次、千人、千日","","","","","","","","",""," Unit：Numbers、1000 persons、1000 days","","",""," ","","","","","  單位：次、千人、千日","","","","",""," Unit：Numbers、1000 persons、1000 days","",
" ",""," 加拿大 (1) (2)  ˉ","","",""," 法　　國 (3) (4)  ˉ","","","","",""," 德　　國 (5)  ˉ","","",""," 義 大 利 (6)  ˉ","","",""," ","  日　　本 (2) (7)ˉ","","","  韓　　國 (2) (8)ˉ","","",""," 英　　國 (9)  ˉ","",""," 美　　國 (10) (11)  ˉ","",
" 年　　　別 ","","  Canada","","","","  France","","","","",""," Germany","","",""," Italy","","",""," 年　　　別 ","","  Japan","",""," Korea, Rep. of","",""," Germany","",""," Italy","",
" ","  次數","  人數"," 損失日數","  次數","","  人數",""," 損失日數",""," 次數",""," 人數"," 損失日數"," 次數",""," 人數",""," 損失日數",""," ","  次數","  人數"," 損失日數","  次數","  人數"," 損失日數"," 次數"," 人數"," 損失日數"," 次數"," 人數"," 損失日數",
" Year "," Number of","  Workers","  Working"," Number of",""," Workers",""," Working",""," Number of",""," Workers"," Working"," Number of",""," Workers",""," Working",""," Year "," Number of","  Workers","  Working"," Number of"," Workers"," Working"," Number of"," Workers"," Working"," Number of"," Workers"," Working",
" ","   disputes","  involved","  days lost","   disputes",""," involved",""," days lost","","   disputes",""," involved"," days lost","   disputes",""," involved",""," days lost",""," ","   disputes","  involved","  days lost","   disputes"," involved"," days lost","   disputes"," involved"," days lost","   disputes"," involved"," days lost",
" 101年  2012 ","282","137","904",""," ...",""," ...",""," ...","367","","22","86",""," ...",""," ...",""," ..."," 101年  2012 ","38","1","4","105","134","933","131","237","249","19","148","1131",
" 102年  2013 ","165","206","1499",""," ...",""," ...",""," ...","1384","","67","150",""," ...",""," ...",""," ..."," 102年  2013 ","31","2","7","72","113","638","114","395","444","15","55","290",
" 103年  2014 ","154","80","1713",""," ...",""," ...",""," ...","637","","58","155",""," ...",""," ...",""," ..."," 103年  2014 ","27","15","20","111","133","651","155","733","788","11","34","200",
" 104年  2015 ","237","434","1820",""," ...",""," ...",""," ...","1618","","230","1092",""," ...",""," ...",""," ..."," 104年  2015 ","39","13","15","105","77","447","106","81","170","12","47","740",
" 資料來源： 勞動部「國際勞動統計」。 ","","","","","","","","",""," Source：  MOL-Foreign Labor Statistics.","","","","","","","","",""," 附　　註： (6)損失日數按每日工時7小時計算。 ","","","","","",""," Remark：  (6)Computed on the basis of a seven-hour working day.","","","","","",
,,,,,,,,,,,,,,,,,,,," (7)不包括停工少於半天者。 ","","","","","","","  (7)Excl. work satoppages lasting less than half a day.","","","","","",
" 附　　註： (1)只要損失10個工作天以上，罷工至少持續半天者即包括在內。 ","","","","","","","","",""," Remark：  (1)Strikes lasting at least half a day with more than 10 days lost.","","","","","","","","","",,,,,,,,,,,,,,
" (2)為實際參加爭議的勞工數。 ","","","","","","","","","","  (2)Workers actually involved.","","","","","","","","",""," (8)2011年後不包括罷工期間未滿8小時者。 ","","","","","","","  (8)After 2011,excl. work stoppages lasting less than 8 hours.","","","","","",
" (3)每一爭議事件表示有一事業單位罷工。 ","","","","","","","","","","  (3)One strike represents one establishment on strike.","","","","","","","","",""," (9)包括損失100個工作天以上，不包括停工少於10人或持續不及1天者。不包括政治性罷工。 ","","","","","","","  (9)Excl. Stoppages involving fewer than 10 workers or lasting less than one day, but incl. 100 or more workdays not worked.","","","","","",
,,,,,,,,,,,,,,,,,,,," (10)指發生於當年之爭議。 ","","","","","","","     Excl. ploitical strikes.","","","","","",
" (4)2008年後調查對象為10人以上之事業單位。 ","","","","","","","","","","  (4)After 2008, establishments with more than 10 employees.","","","","","","","","","",,,,,,,,,,,,,,
" (5)1992年(含)以前，係前「西德」之資料。僅包含罷工期間超過1日以上且爭議人數10人以上。 ","","","","","","","","","","  (5)The series related to the territory of the Former Fed. Rep. of Germany. Incl. work stoppages lasting more than one day and","","","","","","","","",""," (11)不包括停工少於1,000人及不及1天或1個輪班者。 ","","","","","","","  (10)Work stoppages beginning in the year indicated.","","","","","",
,,,,,,,,,,,,,,,,,,,,,,,,,,,"  (11)Excl. work stoppages involving fewer than 1,000 workers and lasting less than a full day or shift.","","","","","",
,,,,,,,,,,"      10 workers.","","","","","","","","","",,,,,,,,,,,,,,
" ","","   -406-","","","","","","","","","","","   -407-","","","","","",""," ","","   -408-","","","","","","","   -409-","","","",
