" 件　數 ","","  金　額"," 件　數","  金　額"," 件　數","  金　額","  件　數","  金　額","  件　數","  金　額","  件　數","  金　額","  件　數","  金　額","  件　數","  金　額"," 件　數 ","","  金　額"," 件　數","  金　額"," 件　數","  金　額","  件　數","  金　額","  件　數","  金　額","  件　數","  金　額","  件　數","  金　額","  件　數","  金　額"," 件　數 ","","  金　額"," 件　數","  金　額"," 件　數","  金　額"," 件　數","  金　額"," 件　數","  金　額"," 件　數","  金　額"," 件　數","  金　額",
" "," Cases","  Amount"," Cases","  Amount"," Cases","  Amount","  Cases","  Amount","  Cases","  Amount","  Cases","  Amount","  Cases","  Amount","  Cases","  Amount"," "," Cases","  Amount"," Cases","  Amount"," Cases","  Amount","  Cases","  Amount","  Cases","  Amount","  Cases","  Amount","  Cases","  Amount","  Cases","  Amount"," "," Cases","  Amount"," Cases","  Amount"," Cases","  Amount","  Cases","  Amount","  Cases","  Amount","  Cases","  Amount"," Cases","  Amount",
"  96年  2007 ","3036","270829","2677","158507","102","2832","1342","65266","2","72","268","22936","0","0","0","5463","  96年  2007 ","375","3137","588","58800","315","51210","1","48","110","6064","0","0","31","2704","5","236","  96年  2007 ","98","9800","46","18497","24","13861","0","0","29","64202","9","7945","0","0",
"  97年  2008 ","3417","322778","3060","192289","92","3682","1573","89579","2","94","337","33538","0","0","0","9243","  97年  2008 ","536","4154","520","52000","319","58342","2","91","108","7077","0","0","32","3446","1","7","  97年  2008 ","113","11300","30","14688","33","21733","0","0","20","44019","11","9242","0","0",
"  98年  2009 ","3916","369061","3556","251407","87","4003","1644","108873","1","18","362","42430","0","0","0","11668","  98年  2009 ","677","5915","785","78500","329","64392","2","115","98","7353","2","48","35","4000","4","73","  98年  2009 ","109","10900","48","21987","31","19916","0","0","39","20137","13","12278","0","0",
"  99年  2010 ","3679","296671","3310","214794","69","3433","1491","103628","4","126","356","42670","0","0","0","14663","  99年  2010 ","967","8025","423","42250","317","49461","1","93","106","7343","0","0","32","3760","4","23","  99年  2010 ","119","11900","31","12208","24","14135",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","28","14716","13","11148","0","0",
" 100年  2011 ","3355","271457","3021","201339","72","3376","1338","94010","2","60","345","41370","0","0","0","15161"," 100年  2011 ","860","7013","404","40350","293","44254","1","84","108","7676","0","0","36","4070","8","148"," 100年  2011 ","95","9400","25","9783","20","13094",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","23","12852","14","9169","1","25",
" 101年  2012 ","3621","305355","3259","235322","108","5235","1319","101825","3","84","344","46389","0","0","0","17938"," 101年  2012 ","929","8435","556","55417","324","47987","1","98","115","9077","0","0","41","5063","9","201"," 101年  2012 ","117","11650","25","10930","16","10968",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","22","9740","4","7531","1","25",
" 102年  2013 ","3247","286363","2926","223048","115","6292","1233","100218","5","260","349","46391","0","0","0","19979"," 102年  2013 ","803","7908","421","42000","294","46019","2","185","100","8360","0","0","32","4862","13","245"," 102年  2013 ","117","11650","16","9862","14","10854",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","13","6880","3","7127","0","0",
" 103年  2014 ","3036","266188","2751","211045","112","6364","1197","93828","6","393","349","46461","0","0","0","21777"," 103年  2014 ","746","8023","341","34200","269","41135","2","139","87","7280","0","0","32","4528","14","166"," 103年  2014 ","95","9500","22","9891","17","9631",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","47","12145","49","17064","0","0",
" 104年  2015 ","2963","280826","2591","209324","123","7291","1102","90585","3","197","322","44834","0","0","0","22478"," 104年  2015 ","670","6989","371","36950","276","42293","3","210","86","6887","0","0","38","4797","11","147"," 104年  2015 ","97","9700","29","12935","12","7615",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","56","12488","35","8437","1","7",
" 105年  2016 ","2942","274318","2554","205463","138","7998","1089","86204","4","197","303","43442","0","0","0","21753"," 105年  2016 ","634","7320","386","38550","296","47923","5","358","93","7098","3","35","34","4586","7","179"," 105年  2016 ","113","11267","27","17257","14","7143",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","3","748","0","0",
" 　　  1月 　　 Jan. ","204","18153","194","16046","6","624","93","7204","0","0","22","3686","0","0","0","1827"," 　　  1月 　　 Jan. ","52","606","21","2100","7","1359","1","18","1","506","0","0","2","363","1","9"," 　　  1月 　　 Jan. ","1","100","1","364","0","0",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","1","333","0","0","0","0",
" 　　  2月 　　 Feb. ","181","19517","159","16444","8","647","65","7248","0","0","16","3674","0","0","0","1821"," 　　  2月 　　 Feb. ","44","504","26","2550","21","2741","0","18","8","652","0","0","3","421","1","9"," 　　  2月 　　 Feb. ","8","800","1","840","0","0",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","4","1800","0","0",
" 　　  3月 　　 Mar. ","280","25276","237","17518","13","657","95","7264","0","0","26","3662","0","0","0","1857"," 　　  3月 　　 Mar. ","72","978","31","3100","39","5958","1","18","13","602","0","0","4","339","0","0"," 　　  3月 　　 Mar. ","14","1400","3","2281","4","1318",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","4","2443","0","0",
" 　　  4月 　　 Apr. ","212","24734","185","16937","6","645","86","7189","0","0","17","3686","0","0","0","1865"," 　　  4月 　　 Apr. ","46","553","30","3000","23","5354","1","35","4","611","0","0","1","456","1","50"," 　　  4月 　　 Apr. ","10","967","5","2378","1","857",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","1","72","0","0",
" 　　  5月 　　 May ","249","21523","228","17417","11","663","99","7213","1","42","26","3674","0","0","0","1849"," 　　  5月 　　 May ","58","676","33","3300","20","4035","0","26","5","660","0","0","2","433","0","0"," 　　  5月 　　 May ","8","800","3","1981","2","134",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","0","0","0","0",
