,,,,,,,,,,,,,,,,,,,,," ","  (%)","  wage","  wage","","","   period(%)","","  (N.T.$)","   period(%)","",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,"  69年  1980 ","19.02","3300",""," ...","8843",""," ...","7760",""," ...","9555","18.93","8360","24.42","207.4","","-3.58","","196.5","","-3.06","",
"  77年  1988 ","8.02","-4.68","6369","19.05","60784","13.08","49713","42.03",""," ...",""," ...","28.42","","5.3","","121.36","","6.76","","  70年  1981 ","16.31","3300",""," ...","10677","20.74","","9573","23.36","",,,,,,,,,,,,,
"  78年  1989 ","8.75","0.73","7614","19.55","66435","9.3","52314","5.23",""," ...",""," ...","31.01","","9.11","","129.24","","6.49","",,,,,,,,,,,,"10455","9.42","9264","10.81","208.5","","0.53","","198.2","","0.87","",
,,,,,,,,,,,,,,,,,,,,,"  71年  1982 ","2.95","3300",""," ...","11472","7.45","","10396","8.6","","11121","6.37","9902","6.89","207.3","","-0.58","","196.5","","-0.86","",
,,,,,,,,,,,,,,,,,,,,,"  72年  1983 ","1.38","5700",""," ...","12122","5.67","","11021","6.01","",,,,,,,,,,,,,
"  79年  1990 ","5.65","-3.1","8216","7.91","67425","1.49","54786","4.72",""," ...",""," ...","33.36","","7.58","","137.65","","6.51","",,,,,,,,,,,,,,,,,,,,,,,,
"  80年  1991 ","8.36","2.71","9136","11.2","76563","13.55","63142","15.25",""," ...",""," ...","36.52","","9.47","","139.48","","1.33","",,,,,,,,,,,,"12151","9.26","10811","9.18","207.5","","0.1","","195.7","","-0.41","",
,,,,,,,,,,,,,,,,,,,,,"  73年  1984 ","-0.03","6150",""," ...","13409","10.62","","11995","8.84","","12677","4.33","11372","5.19","203.8","","-1.78","","194.2","","-0.77","",
"  81年  1992 ","8.29","-0.07","10778","17.97","82122","7.26","72352","14.59",""," ...",""," ...","37.87","","3.7","","148.66","","6.58","","  74年  1985 ","-0.16","6150",""," ...","13980","4.26","","12534","4.49","",,,,,,,,,,,,,
"  82年  1993 ","6.8","-1.49","11251","4.39","85957","4.67","77393","6.97",""," ...",""," ...","39.14","","3.35","","154.17","","3.71","",,,,,,,,,,,,"13960","10.12","12054","6","205.3","","0.74","","193.4","","-0.41","",
,,,,,,,,,,,,,,,,,,,,,"  75年  1986 ","0.69","6900",""," ...","15118","8.14","","13237","5.61","","15333","9.84","13039","8.17","205.2","","-0.05","","193.6","","0.1","",
"  83年  1994 ","7.49","0.69","12160","8.08","94300","9.71","85698","10.73",""," ...",""," ...","40.52","","3.53","","158.32","","2.69","","  76年  1987 ","0.52","6900",""," ...","16496","9.11","","14186","7.17","",,,,,,,,,,,,,
"  84年  1995 ","6.5","-0.99","13129","7.97","113342","20.19","104012","21.37",""," ...",""," ...","43.53","","7.43","","156.57","","-1.11","",,,,,,,,,,,,"16987","10.79","14389","10.35","202.5","","-1.32","","192.1","","-0.77","",
,,,,,,,,,,,,,,,,,,,,,"  77年  1988 ","1.28","8130",""," ...","18399","11.54","","15562","9.7","","19429","14.38","16200","12.59","199.5","","-1.48","","189.6","","-1.3","",
,,,,,,,,,,,,,,,,,,,,,"  78年  1989 ","4.42","8820",""," ...","21247","15.48","","17543","12.73","",,,,,,,,,,,,,
