" 表 7-1 就業保險投保單位數及人數－按行業分 ","","","","","","","","","","  Table 7-1 Number of Insured Units and Persons under Employment Insurance","","","","","","","","","",""," 表 7-1 就業保險投保單位數及人數－按行業分(續1) ","","","","","","","","  Table 7-1 Number of Insured Units and Persons under Employment Insurance","","","","","","","","","",""," 表 7-1 就業保險投保單位數及人數－按行業分(續2完) ","","","","","","","","","","  Table 7-1 Number of Insured Units and Persons under Employment Insurance","","","","","","","","","","",
" ","","  總　　　計","","  農、林、漁、牧業","","","  礦業及土石採取業","","","  製　造　業","","","  電力及燃氣供應業","","  用水供應及污染整治業","","","","  營建工程業",""," ","  批發及零售業","","  運輸及倉儲業","","  住宿及餐飲業","","","","","","  金融及保險業","","","  不　動　產　業","","","  專業、科學及技術服務業",""," ","","","  支援服務業","","  公共行政及國防；強制性社會安全","","","","","  教　育　業","","","  醫療保健及社會工作服務業","","  藝術、娛樂及休閒服務業","","","","  其 他 服 務 業","",
" 年　月　底　別 ","","","","","","","","",,,,,,,,,,,,," 年　月　底　別 ","","","","","","","  傳播及資通訊服務業","","","","","","","","","","",""," 年　月　底　別 ","","","","","","","","",,,,,,,,,,,,,
" ","","","","  Agriculture,forestry, fishing &","","","","","","","","","","","","  Water supply &","","","",""," ","","","","","  Accommodation &","","","","","","  Financial &","","","","","","  Professional, scientific",""," ","","","","","","  Public administration & defence;","","","","","","","  Human health &","","","  Arts, entertainment","","","","",
" ","","  Grand total","","  animal husbandry","","","  Mining & quarrying","","","  Manufacturing","","","  Electricity & gas supply","",""," remediation activities","","","  Construction",""," ","  Wholesale & retail trade","","  Transportation & storage","","  food service activities","","  Information & communication","","","","  insurance activities","",""," Real estate activities","","","  & technical activities",""," ","","  Support service activities","","","","  Compulsory social security","","","","  Education","","","  social work activities","","","  & recreation","","","  Other service activities","",
" ","  單 位 數","","  人  數","  單 位 數","  人  數","","  單 位 數","  人  數","  單 位 數","","  人  數","","  單 位 數","  人  數","  單 位 數","","  人  數","","  單 位 數","  人  數"," ","  單 位 數","  人  數","  單 位 數","  人  數","  單 位 數","  人  數","  單 位 數","","  人  數","","  單 位 數","  人  數","  單 位 數","","  人  數","","  單 位 數","  人  數"," ",""," 單 位 數",""," 人  數","","  單 位 數",""," 人  數","  單 位 數","","  人  數","","  單 位 數","  人  數","  單 位 數","","  人  數","","  單 位 數","  人  數",
" End of year and month ","","","","","","","","",,,,,,,,,,,,," End of year and month ","","","","","","",,,,,,,,,,,,," End of year and month ","","","","","","","","",,,,,,,,,,,,,
" ","  Units","","  Persons","  Units","  Persons","","  Units","  Persons","  Units","","  Persons","","  Units","  Persons","  Units","","  Persons","","  Units","  Persons"," ","  Units","  Persons","  Units","  Persons","  Units","  Persons","  Units","","  Persons","","  Units","  Persons","  Units","","  Persons","","  Units","  Persons"," ","","  Units",""," Persons","","  Units",""," Persons","  Units","","  Persons","","  Units","  Persons","  Units","","  Persons","","  Units","  Persons",
"  99年底  End of 2010 ","447838","","5880500","1112","10245","","397","3676","93567","","2050737","","230","22873","3026","","35911","","37155","250283","  99年底  End of 2010 ","171346","1313092","8700","183082","12416","194658","8669","","173099","","6552","316435","10052","","77627","","26333","255205","  99年底  End of 2010 ","","11096","","213411","","2707","","124933","13302","","180642","","23349","329469","1964","","30248","","15865","114874",
" 100年底  End of 2011 ","460045","","6118570","1149","10717","","389","3839","94395","","2108957","","238","23155","3163","","34259","","38229","260887"," 100年底  End of 2011 ","174713","1376542","8838","190482","14026","219520","8926","","182820","","6638","320092","10921","","82239","","27528","267143"," 100年底  End of 2011 ","","11585","","218774","","2758","","128561","13389","","189430","","24402","348483","2066","","32491","","16692","120179",
" 101年底  End of 2012 ","464610","","6224341","1159","10854","","373","3627","93491","","2114538","","245","23301","3217","","36083","","38454","259198"," 101年底  End of 2012 ","175163","1395205","8891","196236","15766","239460","9155","","190172","","6652","322357","11530","","84626","","28235","273436"," 101年底  End of 2012 ","","11874","","226523","","2731","","128282","14105","","209468","","24288","355107","2160","","32677","","17121","123191",
" 102年底  End of 2013 ","471214","","6310245","1139","11012","","351","3005","93166","","2123949","","261","23348","3294","","34062","","39185","261022"," 102年底  End of 2013 ","175951","1409372","9030","200460","17092","257734","9368","","195029","","6657","322648","12545","","89943","","29116","278390"," 102年底  End of 2013 ","","12232","","233307","","2708","","125701","15930","","230954","","23383","350396","2283","","33621","","17523","126292",
" 103年底  End of 2014 ","480444","","6437767","1159","11128","","364","2970","93307","","2143091","","270","23361","3308","","34251","","40167","265278"," 103年底  End of 2014 ","177604","1439869","9091","207010","18895","278764","9596","","201922","","6809","326342","13372","","92405","","30077","283722"," 103年底  End of 2014 ","","12542","","237562","","2675","","123235","16274","","239939","","23955","361359","2459","","35388","","18520","130171",
" 104年底  End of 2015 ","490238","","6565561","1201","12101","","356","2906","93371","","2136266","","294","22758","3319","","31269","","41181","268610"," 104年底  End of 2015 ","179069","1466162","9198","215972","21030","301753","9989","","219407","","6979","330100","13499","","91241","","31024","289836"," 104年底  End of 2015 ","","13101","","238075","","2690","","124123","16360","","261714","","25196","377769","2957","","39578","","19424","135921",
" 105年底  End of 2016 ","497764","","6674699","1233","12436","","345","2875","92914","","2134765","","318","23498","3362","","30378","","42016","270516"," 105年底  End of 2016 ","180143","1491860","9284","221407","23622","324593","10515","","226169","","7056","335825","13206","","89155","","31663","298203"," 105年底  End of 2016 ","","13670","","251660","","2666","","123361","16625","","259485","","26059","395966","3151","","42667","","19916","139880",
"  1月底  End of Jan. ","490978","","6579046","1201","12312","","355","2917","93329","","2141169","","296","22698","3333","","31748","","41258","268930","  1月底  End of Jan. ","179153","1478707","9224","218685","21238","308841","10056","","223559","","7000","332229","13441","","91421","","31098","295932","  1月底  End of Jan. ","","13192","","250983","","2700","","125055","16334","","215695","","25278","380677","2956","","40541","","19536","136947",
"  2月底  End of Feb. ","491435","","6549686","1200","12135","","354","2901","93272","","2122396","","299","23390","3324","","31464","","41290","267245","  2月底  End of Feb. ","179206","1456951","9218","216112","21401","298219","10100","","221959","","7013","330842","13421","","90147","","31153","292765","  2月底  End of Feb. ","","13241","","246319","","2699","","125676","16320","","256636","","25351","379037","2973","","39712","","19600","135780",
"  3月底  End of Mar. ","491786","","6575867","1193","12198","","352","2918","93126","","2118536","","305","23333","3325","","31067","","41370","267802","  3月底  End of Mar. ","179272","1461341","9217","217186","21574","300726","10120","","221243","","7036","330575","13372","","90028","","31130","293916","  3月底  End of Mar. ","","13326","","249513","","2695","","125206","16345","","273894","","25411","380532","2988","","39841","","19629","136012",
"  4月底  End of Apr. ","492250","","6594104","1194","12119","","356","2909","93158","","2118672","","304","23236","3343","","30755","","41446","268492","  4月底  End of Apr. ","179248","1463939","9216","217518","21736","303050","10147","","222307","","7035","330605","13332","","89759","","31207","294988","  4月底  End of Apr. ","","13339","","253372","","2697","","126473","16355","","277148","","25472","382053","2995","","40518","","19670","136191",
"  5月底  End of May ","492813","","6592463","1207","12161","","358","2922","93057","","2114904","","301","23132","3353","","30697","","41502","268115","  5月底  End of May ","179311","1462614","9257","218183","21998","304629","10217","","222761","","7036","331068","13300","","89294","","31222","294147","  5月底  End of May ","","13428","","254978","","2696","","127021","16350","","276210","","25517","382539","3002","","40861","","19701","136227",
"  6月底  End of June ","493413","","6537718","1213","12275","","355","2920","93085","","2116783","","306","23090","3369","","30753","","41633","268274","  6月底  End of June ","179338","1464722","9258","218629","22205","307419","10251","","222542","","7034","330117","13288","","89130","","31245","292968","  6月底  End of June ","","13476","","254148","","2681","","126885","16404","","216367","","25527","382631","3023","","41839","","19722","136226",
"  7月底  End of July ","494977","","6597224","1222","12483","","353","2923","93140","","2136084","","305","23028","3357","","30703","","41722","270713","  7月底  End of July ","179722","1490596","9267","220369","22569","322823","10339","","225783","","7061","332371","13282","","89926","","31414","299228","  7月底  End of July ","","13525","","259053","","2679","","130535","16369","","180593","","25664","385600","3053","","44618","","19934","139795",
"  8月底  End of Aug. ","495802","","6613934","1226","12407","","349","2905","93105","","2127099","","302","22945","3364","","30800","","41799","270479","  8月底  End of Aug. ","179901","1480598","9281","220625","22881","318212","10393","","225898","","7068","332504","13245","","89552","","31479","296519","  8月底  End of Aug. ","","13582","","258229","","2676","","128205","16406","","224747","","25738","389930","3069","","42740","","19938","139540",
"  9月底  End of Sept. ","496574","","6653573","1222","12382","","349","2884","93131","","2125870","","308","22936","3376","","30905","","41877","270080","  9月底  End of Sept. ","180054","1479857","9296","220701","23082","317468","10444","","226292","","7074","333645","13233","","89507","","31508","297868","  9月底  End of Sept. ","","13610","","258533","","2680","","128475","16459","","260123","","25816","393566","3089","","42495","","19966","139986",
" 10月底  End of Oct. ","497494","","6683540","1225","12518","","348","2885","93122","","2130629","","312","22889","3368","","31020","","41954","271080"," 10月底  End of Oct. ","180236","1485003","9295","221170","23344","320398","10476","","224790","","7064","333933","13247","","89502","","31572","299467"," 10月底  End of Oct. ","","13648","","259845","","2678","","127729","16580","","272400","","25917","395548","3129","","42515","","19979","140219",
" 11月底  End of Nov. ","498049","","6715755","1228","12623","","349","2884","93107","","2136117","","312","22861","3360","","31135","","41999","271607"," 11月底  End of Nov. ","180276","1491863","9296","222542","23506","323256","10484","","227764","","7077","335314","13233","","89767","","31639","301214"," 11月底  End of Nov. ","","13690","","263218","","2675","","127638","16615","","274745","","26021","397754","3150","","42863","","20032","140590",
" 12月底  End of Dec. ","497764","","6674699","1233","12436","","345","2875","92914","","2134765","","318","23498","3362","","30378","","42016","270516"," 12月底  End of Dec. ","180143","1491860","9284","221407","23622","324593","10515","","226169","","7056","335825","13206","","89155","","31663","298203"," 12月底  End of Dec. ","","13670","","251660","","2666","","123361","16625","","259485","","26059","395966","3151","","42667","","19916","139880",
" 資料來源： 勞動部勞工保險局。 ","","","","","","","","","  Source：","  Bureau of Labor Insurance, MOL.","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" 說　　明： 98年以前依據「中華民國行業標準分類（第7次修訂）」編製，99-101年依據第8次修訂編製，102-104年依據ˉ ","","","","","","","","","  Note：","  Data series were classified before 2009 refer to Standard Industrial Classification System of R.O.C, Rev.7. Data series from","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" 第9次修訂編製，105年起依據第10次修訂編製。 ","","","","","","","","","","  2010 to 2012 refer to Rev.8. Data series from 2013 to 2015 refer to Rev.9. Data series from 2016 refer to Rev.10.","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" ","","","   -208-","","","","","","","","","","","   -209-","","","","","",""," ","","   -210-","","","","","","","","","","   -211-","","","","","",""," ","","","   -212-","","","","","","","","","","","   -213-","","","","","","",
