,總計_單位數,總計_人數,產業勞工及交通公用事業之員工_單位數,產業勞工及交通公用事業之員工_人數,公司、行號之員工_單位數,公司、行號之員工_人數,新聞、文化、公益及合作事業之員工_單位數,新聞、文化、公益及合作事業之員工_人數,政府機關、公、私立學校之員工_單位數,政府機關、公、私立學校之員工_人數,受僱從事漁業生產之勞動者_單位數,受僱從事漁業生產之勞動者_人數,職業訓練機構接受訓練者_單位數,職業訓練機構接受訓練者_人數,職業勞工_單位數,職業勞工_人數,漁會之甲類會員_單位數,漁會之甲類會員_人數,自願投保者_單位數,自願投保者_人數
總計,544826,10165434,154859,3119516,313367,3394398,12246,308079,8436,418062,1756,4714,112,6630,3828,2222485,39,284522,50183,407028
新北市,96609,1425446,31803,455445,54676,489651,1859,38353,746,45190,216,593,9,852,305,317666,5,28357,6990,49339
臺北市,108517,2362347,12633,351219,80115,1355327,3458,86348,971,127894,25,98,17,481,318,347778,0,0,10980,93202
桃園市,47225,913397,15754,428282,26174,256398,724,21303,584,28889,50,109,10,813,271,142815,2,1629,3656,33159
臺中市,85214,1185098,30216,454929,45208,375113,1247,28774,791,38973,31,97,11,1753,368,223309,1,2216,7341,59934
臺南市,38139,758371,12626,292280,19977,159722,799,17948,680,29332,27,58,12,874,326,160599,2,66912,3690,30646
高雄市,59752,1106775,15142,325733,35606,314634,1219,30891,872,34342,482,1303,9,530,537,319040,7,33108,5878,47194
宜蘭縣,6032,154323,1636,27121,2637,22116,210,5429,240,8286,417,1325,4,238,177,66237,2,18414,709,5157
新竹縣,9762,279675,2938,152640,5299,68260,238,10504,227,6295,13,39,3,9,105,33928,0,0,939,8000
苗栗縣,7464,156556,2856,60896,3191,27564,199,4786,295,7142,11,44,0,0,110,41115,2,7794,800,7215
彰化縣,28610,435246,13541,193938,11906,79246,456,14784,445,12969,18,41,8,271,169,99890,1,16494,2066,17613
南投縣,5841,129504,1783,30720,2580,21099,193,3970,340,8292,1,4,3,100,116,53699,1,4391,824,7229
雲林縣,7242,215109,2449,60111,3067,25003,230,5073,361,11213,31,58,4,105,174,74320,1,31642,925,7584
嘉義縣,5153,112177,1877,36739,2264,20593,163,7377,265,7045,8,18,4,101,69,19002,1,18576,502,2726
屏東縣,8730,207879,2225,34014,4349,32917,395,5904,443,11875,51,124,6,85,143,91728,5,19720,1113,11512
臺東縣,2823,43473,585,4002,1363,8985,122,3960,227,5033,67,123,0,0,62,15817,3,3595,394,1958
花蓮縣,5233,92084,1338,13734,2665,19377,163,8170,293,8022,43,105,6,301,107,37315,1,1897,617,3163
澎湖縣,1125,29843,268,1721,405,2481,28,558,119,2747,177,362,0,0,18,5950,1,15249,109,775
基隆市,4797,107913,1161,16393,2600,17349,123,3885,144,5585,45,112,0,0,153,58902,1,1728,570,3959
新竹市,9894,310641,2514,161037,5674,73560,263,6375,149,10219,25,64,4,65,141,44432,1,7142,1123,7747
嘉義市,5452,116672,1107,14208,3116,21811,128,3353,103,4509,0,0,2,52,141,64379,0,0,855,8360
金門縣,1016,20341,318,3749,458,3037,25,313,96,3489,13,25,0,0,16,3972,1,5275,89,481
連江縣,196,2564,89,605,37,155,4,21,45,721,5,12,0,0,2,592,1,383,13,75
