" ","","","  Regional Branch of WDA,","","  Regional Branch of WDA,","","","","","","  Regional Branch of WDA,",""," ","  Vocational Training","","  & Development Center","","  Taipei Competency","","  Kaohsiung Municipal Training","","  New Taipei City Government","","","",
" ","  Grand total","","  Taipei-Keelung-Yilan-Hualien-","","  Taoyuan-Hsinchu-Miaoli","","  Regional Branch of WDA,","","  Regional Branch of WDA,",""," Kaohsiung-Pingtung-Penghu-Taitung","",,,,,,,,"","","",""," and Employment, Bureau of Labor","",
,,,,,,,,,,,,," ","  Center, VAC","","  Fisheries Administration","","  Development College","","  and Employment Center","","  Vocational Training Center","","  Affairs, Tainan City Government","",
" ","","","  Kinmen-Matsu Region","","  Region",""," Taichung-Changhua-Nantou Region","","  Yunlin-Chiayiu-Tainan Region","","  Region",""," ","","","  Council of Agriculture","","","",,,,,,,
" ","  開    訓","  結    訓","  開    訓","  結    訓","  開    訓","  結    訓","  開    訓","  結    訓","  開    訓","  結    訓","  開    訓","  結    訓"," ","  開    訓","  結    訓","  開    訓","  結    訓","  開    訓","  結    訓","  開    訓","  結    訓","  開    訓","  結    訓","  開    訓","  結    訓",
" Year and month ","  Starting","  Finished","  Starting","  Finished","  Starting","  Finished","  Starting","  Finished","  Starting","  Finished","  Starting","  Finished"," Year and month ","  Starting","  Finished","  Starting","  Finished","  Starting","  Finished","  Starting","  Finished","  Starting","  Finished","  Starting","  Finished",
" ","  training","  training","  training","  training","  training","  training","  training","  training","  training","  training","  training","  training"," ","  training","  training","  training","  training","  training","  training","  training","  training","  training","  training","  training","  training",
" 102年  2013 ","25114","23106","2455","1993","4664","4304","4610","4086","3387","3047","1598","1516"," 102年  2013 ","2275","2187","1008","985","2318","2257","303","480","2496","2251","0","0",
" 103年  2014 ","25052","23088","2357","1911","4916","4456","4215","3818","3509","3310","1575","1469"," 103年  2014 ","1955","1861","950","933","2166","2171","305","307","3104","2852","0","0",
" 104年  2015 ","24675","22649","2546","2134","4648","4294","4151","3929","3512","3190","1653","1374"," 104年  2015 ","1661","1613","898","886","2054","1941","295","296","3257","2992","0","0",
" 105年  2016 ","25285","23675","2716","2414","5109","4730","4286","4084","3549","3425","1511","1310"," 105年  2016 ","1668","1617","1028","1010","2016","1928","306","308","3096","2849","0","0",
" 　　  1月 　　 Jan. ","4125","690","383","86","1374","36","297","310","978","98","154","23"," 　　  1月 　　 Jan. ","406","48","0","0","489","89","0","0","44","0","0","0",
" 　　  2月 　　 Feb. ","1054","456","130","143","93","77","460","119","30","9","147","36"," 　　  2月 　　 Feb. ","0","0","0","0","136","52","0","0","58","20","0","0",
" 　　  3月 　　 Mar. ","1741","1485","207","219","300","213","377","287","44","250","112","100"," 　　  3月 　　 Mar. ","193","101","74","74","71","104","150","0","213","137","0","0",
" 　　  4月 　　 Apr. ","1674","1996","255","251","244","336","428","427","270","539","54","108"," 　　  4月 　　 Apr. ","58","59","0","0","157","169","0","0","208","107","0","0",
" 　　  5月 　　 May ","3274","1710","319","99","858","597","485","330","793","103","117","95"," 　　  5月 　　 May ","97","21","207","205","179","140","0","0","219","120","0","0",
" 　　  6月 　　 June ","871","2426","70","155","118","614","138","367","12","356","90","291"," 　　  6月 　　 June ","25","55","113","110","57","250","0","0","248","228","0","0",
" 　　  7月 　　 July ","2999","2278","297","162","766","352","470","432","447","83","303","41"," 　　  7月 　　 July ","101","498","191","188","250","170","0","151","174","201","0","0",
" 　　  8月 　　 Aug. ","2412","2757","283","391","91","672","335","283","49","703","40","117"," 　　  8月 　　 Aug. ","555","91","106","105","207","139","156","0","590","256","0","0",
" 　　  9月 　　 Sept. ","3404","1915","437","231","967","195","472","480","708","250","202","97"," 　　  9月 　　 Sept. ","29","80","149","144","212","166","0","0","228","272","0","0",
" 　　 10月 　　 Oct. ","1942","1451","182","176","209","114","340","325","203","0","177","104"," 　　 10月 　　 Oct. ","86","20","159","157","117","65","0","0","469","490","0","0",
" 　　 11月 　　 Nov. ","1376","1127","153","121","73","307","358","198","15","0","85","136"," 　　 11月 　　 Nov. ","88","36","29","27","116","79","0","0","459","223","0","0",
" 　　 12月 　　 Dec. ","413","5384","0","380","16","1217","126","526","0","1034","30","162"," 　　 12月 　　 Dec. ","30","608","0","0","25","505","0","157","186","795","0","0",
" 資料來源： 公立職訓機構。 ","","","","","",""," Source：  The Public Vocational Training Institute.","","","","","",,,,,,,,,,,,,,
" 說　　明： 1.自102年起，青輔會青年職訓中心併入桃竹苗分署。 ","","","","","",""," Note：  1.The Vacational Training Center, National Youth Commission incorporated into the Regional Branch of WDA, Taoyuan-Hsinchu-","","","","","",,,,,,,,,,,,,,
" 2.臺南市職訓就服中心目前尚無自辦訓練，僅有委託訓練。 ","","","","","","","     Miaoli Region since 2013.","","","","","",,,,,,,,,,,,,,
,,,,,,,"  2.The Service Center Vocational Training and Employment, Bureau of Labor Affairs, Tainan City Government there is no","","","","","",,,,,,,,,,,,,,
,,,,,,,"     self-sponsored training currently, only consigned training.","","","","","",,,,,,,,,,,,,,
" ","","   -334-","","","","","","","   -335-","","",""," ","","   -336-","","","","","","","   -337-","","","",
