" ","  表 12-7 技能檢定合格數","","","","","","","  Table 12-7 Number of Passing the Skills Certification","","","","","",""," ","  表 12-7 技能檢定合格數(續)","","","","","",""," Table 12-7 Number of Passing the Skills Certification(Cont.)","","","","","",
" ","","","  合　　　　格　　　　數　　(張)","","","","","","","  Number of passing (Sheet)","","","",""," ","","  合　　　　格　　　　數　　　(張)ˉ","","","","","","","  Number of passing (Sheet)","","","","",
" 年　月　別 ","  檢定職類數","  到檢人數","","","","",,,,,,,,," 年　月　別 ","","","","","","",,,,,,,,
" ","","","","","  級       別","  Type of License","","","","  職　　　　　類　　　　　別","","  Occupational classification","",""," ","  職　　　　　　類　　　　　　別","","","  Occupational classification","","","","  職                            類                            別","","","  Occupational classification","","",
" ","  (種)","  (人)","  總　　計","","","",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"","","  金屬及機械","  機械及設備","","","",""," ","  食品加工","  餐飲服務","","  美容美髮","  商業服務"," 職業安全衛生"," 職業安全衛生","","","","","","",
" ","","","","  合格率(%)","  甲　　級","  乙　　級","  丙　　級","  單 一 級","",""," 銲接配管類群","  電機類群","  資訊類群","  化工類群"," ","","","  農業類群","","","",""," 電子儀表類群","  營造類群","  服飾類群"," 印刷製版類群"," 消防設備類群","  其　　他",
" ","  Number of","  Number of","","","","","","","  加工類群","  修護類群","","","",""," ","  類群","  類群","","  類群","  類群","  操作類群","  管理類群","","","","","","",
" ","  the job","  the attending","","","","","","","  Metal &","  Machinery &","  Welding &","  Electrical","  Information","  Chemical"," Year and month ","  Food","  Catering","","  Beauty","  Commercial","  Occupational","  Occupational","  Electronic","","","  Printing &","  Fire-fighting","",
" ","  categories","  persons","","  Passing","","","","","","  equipments","","","",""," ","","","  Agriculture","  therapy &",""," safety & health"," safety & health","","  Construction"," Dress-making","","","  Others",
" Year and month ","  (Kind)","  (Person)","  Grand total","  Rate","  Class Ａ","  Class Ｂ","  Class C","  Class Unitary","  machining","  maintanance","  pipe-fitting","  mechinery","  technology","  engineering"," ","  processing","  service","  skills group","  Hair-dressing","  service","  operating","  managing","  instrument","  skills group","  skills group","  plate-making","  equipment","  skills group",
,,,,,,,"","","  skills group","","  skills group","  skills group","  skills group","  skills group"," ","  skills group","  skills group","","","  skills group","","","  skills group","","","  skills group","  skills group","",
,,,,,,,"","","","  skills group","","","",""," ","","","","  skills group","","  skills group","  skills group","","","","","","",
" 　　  2月 　　 Feb. ","64","31738","17762","55.96","11","10168","6628","955","1056","477","139","580","3148","442"," 　　  2月 　　 Feb. ","562","3209","53","416","1861","949","0","1342","650","205","2238","0","435",
" 　　  3月 　　 Mar. ","80","54389","33602","61.78","77","12371","14630","6524","1934","1326","419","2070","4794","453"," 　　  3月 　　 Mar. ","2894","3565","102","1294","1171","5095","0","1606","1204","199","3765","0","1711",
" 　　  4月 　　 Apr. ","100","43713","24437","55.9","177","4683","16390","3187","762","1372","461","810","4694","89"," 　　  4月 　　 Apr. ","2551","3898","21","295","2327","2245","366","1077","1845","2","504","0","1118",
" 　　  5月 　　 May ","76","37307","26698","71.56","1","1186","20853","4658","819","2175","470","708","4963","8"," 　　  5月 　　 May ","1704","4740","127","3919","469","3907","0","1108","687","0","308","0","586",
" 　　  6月 　　 June ","87","63894","46036","72.05","1","848","40407","4780","1872","2073","680","1725","9883","146"," 　　  6月 　　 June ","4477","8775","280","1421","5647","3447","0","1873","890","183","1079","0","1585",
" 　　  7月 　　 July ","82","69456","47674","68.64","16","1745","40479","5434","1307","1414","649","1463","5822","563"," 　　  7月 　　 July ","5681","7221","950","869","13161","3235","0","912","952","124","747","0","2604",
" 　　  8月 　　 Aug. ","117","136458","93503","68.52","271","2237","85574","5421","6036","4807","522","5055","12300","1539"," 　　  8月 　　 Aug. ","9072","15481","1341","7831","10525","3877","904","4495","3892","525","3352","0","1949",
" 　　  9月 　　 Sept. ","82","49649","34708","69.91","2","3284","26820","4602","3365","1107","728","2719","2547","1241"," 　　  9月 　　 Sept. ","4141","4177","737","5961","487","3148","0","881","1505","183","482","0","1299",
" 　　 10月 　　 Oct. ","88","27020","18092","66.96","7","2182","10083","5820","348","502","653","1211","2474","186"," 　　 10月 　　 Oct. ","2041","2945","50","622","451","4655","0","375","313","0","88","0","1178",
" 　　 11月 　　 Nov. ","103","59833","36024","60.21","412","6158","21846","7608","1303","979","1115","1375","8330","135"," 　　 11月 　　 Nov. ","3684","4689","48","502","2024","5706","916","2195","392","211","492","0","1928",
" 　　 12月 　　 Dec. ","53","12635","8025","63.51","1","1888","4286","1850","300","105","162","345","945","1"," 　　 12月 　　 Dec. ","237","472","14","2520","69","1724","1","91","912","0","35","0","92",
" 資料來源： 勞動部勞動力發展署。 ","","","","","","","  Source： Workforce Development Agency, MOL.","","","","","","","",,,,,,,,,,,,,,,
" 說　　明： 1.當年檢定職類數中重複辦理之職類僅以一種列計。 ","","","","","","","  Note： 1.The duplicate items of number of the job categories in the year will only be counted once.","","","","","","","",,,,,,,,,,,,,,,
" 2.「消防設備類群」自88年以後不再辦理檢定。 ","","","","","","","  2.The skill evaluation of Fire-fighting equipment skills group is no longer to be held since 1999.","","","","","","","",,,,,,,,,,,,,,,
" ","","   -356-","","","","","","","","   -357-","","","",""," ","","   -358-","","","","","","","","   -359-","","","",
