" 表 12-2 公立職訓機構自辦訓練人數－按訓練性質分 ","","","","","","","  Table 12-2 Number of Trainees in the Self-Sponsored Training at the Public Vocational","","","","","","",""," 表 12-2 公立職訓機構自辦訓練人數－按訓練性質分(續) ","","","","","","","  Table 12-2 Number of Trainees in the Self-Sponsored Training at the Public Vocational","","","","","","","",
,,,,,,,"","","  Training Institute by Nature of Training","","","","","",,,,,,,,"","  Training Institute by Nature of Training (Cont.)ˉ","","","","","","",
" ","","","","","","  單位：人","","","","","","","","  Unit：Person"," ","","","","","","  單位：人","","","","","","","","  Unit：Person",
" ","  總        計","","  職         前        訓         練","","  Pre-job training","","","  職                    前                   訓                    練","","","  Pre-job training","","",""," ","  職 前 訓 練"," Pre-job training",""," 在　　　職　　　訓　　　練","","","","","","  On-the-job training","","","","",
" 年　月　別 ","","","  計","","  職 訓 師 資","","  高 級 技 術 員","","  一 般 技 術 員","","  服務、佐理人員","","  身心障礙者 (專班)",""," 年　月　別 ","  漁 業 人 員","","  計","","  職 訓 師 資","","  技 術 員 工","","  服務、 佐理人員","","  漁 業 人 員","","  其        他","",
" ","  Grand total","","  Total","","  Vocational training lecturers","","  Senior technicians","","  Junior technicians","","  Service workers & assistants","","  Disabilities",""," ","  Fisheries personnel","","  Total","","  Vocational training lecturers","","  Skilled technicians & workers","","  Service workers & assistants","","  Fisheries personnel","","  Others","",
" ","  開    訓","  結    訓","  開    訓","  結    訓","  開    訓","  結    訓","  開    訓","  結    訓","  開    訓","  結    訓","  開    訓","  結    訓","  開    訓","  結    訓"," ","  開    訓","  結    訓","  開    訓","  結    訓","  開    訓","  結    訓","  開    訓","  結    訓","  開    訓","  結    訓","  開    訓","  結    訓","  開    訓","  結    訓",
" Year and month ","","","","","","",,,,,,,,," Year and month ","","","","","","",,,,,,,,,
" ","  Starting","  Finished","  Starting","  Finished","  Starting","  Finished","  Starting","  Finished","  Starting","  Finished","  Starting","  Finished","  Starting","  Finished"," ","  Starting","  Finished","  Starting","  Finished","  Starting","  Finished","  Starting","  Finished","  Starting","  Finished","  Starting","  Finished","  Starting","  Finished",
" ","  training","   training","  training","   training","  training","   training","  training","   training","  training","   training","  training","   training","  training","   training"," ","  training","   training","  training","   training","  training","   training","  training","   training","  training","   training","  training","   training","  training","   training",
"  99年  2010 ","23077","21464","11476","10273","0","0","37","37","6539","5868","4673","4152","20","18","  99年  2010 ","207","198","11601","11191","0","0","7340","7089","2338","2244","1923","1858","0","0",
" 100年  2011 ","21337","19909","11457","10452","0","0","0","48","5885","5381","5477","4930","8","7"," 100年  2011 ","87","86","9880","9457","0","0","6898","6597","2113","2006","869","854","0","0",
" 101年  2012 ","23355","21483","12527","11316","0","0","0","20","6739","6034","5587","5108","80","35"," 101年  2012 ","121","119","10828","10167","0","0","7472","7069","2556","2314","800","784","0","0",
" 102年  2013 ","25114","23106","13367","12158","0","0","0","30","7303","6439","5896","5533","27","23"," 102年  2013 ","141","133","11747","10948","0","0","7601","6952","3279","3144","867","852","0","0",
" 103年  2014 ","25052","23088","12771","11633","0","0","0","0","6868","6291","5798","5239","0","0"," 103年  2014 ","105","103","12281","11455","0","0","7765","7170","3671","3455","845","830","0","0",
" 104年  2015 ","24675","22649","12638","11392","0","0","0","0","6457","5819","6081","5477","0","0"," 104年  2015 ","100","96","12037","11257","0","0","7439","6959","3800","3508","798","790","0","0",
" 105年  2016 ","25285","23675","12289","11396","0","0","0","0","6285","5894","5899","5400","0","0"," 105年  2016 ","105","102","12996","12279","0","0","7797","7349","4276","4022","923","908","0","0",
" 　　  1月 　　 Jan. ","4125","690","2049","508","0","0","0","0","1027","359","1022","149","0","0"," 　　  1月 　　 Jan. ","0","0","2076","182","0","0","1394","55","682","127","0","0","0","0",
" 　　  2月 　　 Feb. ","1054","456","614","307","0","0","0","0","413","188","201","119","0","0"," 　　  2月 　　 Feb. ","0","0","440","149","0","0","289","149","151","0","0","0","0","0",
" 　　  3月 　　 Mar. ","1741","1485","1030","821","0","0","0","0","443","431","587","390","0","0"," 　　  3月 　　 Mar. ","0","0","711","664","0","0","332","308","305","282","74","74","0","0",
" 　　  4月 　　 Apr. ","1674","1996","1063","884","0","0","0","0","628","421","435","463","0","0"," 　　  4月 　　 Apr. ","0","0","611","1112","0","0","438","867","173","245","0","0","0","0",
" 　　  5月 　　 May ","3274","1710","910","617","0","0","0","0","364","225","524","370","0","0"," 　　  5月 　　 May ","22","22","2364","1093","0","0","1609","551","570","359","185","183","0","0",
" 　　  6月 　　 June ","871","2426","378","1404","0","0","0","0","143","793","197","574","0","0"," 　　  6月 　　 June ","38","37","493","1022","0","0","261","642","157","307","75","73","0","0",
" 　　  7月 　　 July ","2999","2278","1870","1334","0","0","0","0","1132","664","738","670","0","0"," 　　  7月 　　 July ","0","0","1129","944","0","0","604","450","334","306","191","188","0","0",
" 　　  8月 　　 Aug. ","2412","2757","1356","758","0","0","0","0","683","406","673","352","0","0"," 　　  8月 　　 Aug. ","0","0","1056","1999","0","0","487","1393","463","501","106","105","0","0",
" 　　  9月 　　 Sept. ","3404","1915","1128","1101","0","0","0","0","441","607","642","451","0","0"," 　　  9月 　　 Sept. ","45","43","2276","814","0","0","1567","461","605","252","104","101","0","0",
" 　　 10月 　　 Oct. ","1942","1451","1084","575","0","0","0","0","667","275","417","300","0","0"," 　　 10月 　　 Oct. ","0","0","858","876","0","0","359","282","340","437","159","157","0","0",
" 　　 11月 　　 Nov. ","1376","1127","623","479","0","0","0","0","276","185","347","294","0","0"," 　　 11月 　　 Nov. ","0","0","753","648","0","0","363","338","361","283","29","27","0","0",
" 　　 12月 　　 Dec. ","413","5384","184","2608","0","0","0","0","68","1340","116","1268","0","0"," 　　 12月 　　 Dec. ","0","0","229","2776","0","0","94","1853","135","923","0","0","0","0",
" 資料來源： 公立職訓機構。 ","","","","","","","  Source： The Public Vocational Training Institute.","","","","","","","",,,,,,,,,,,,,,,,
" ","","   -338-","","","","","","","","   -339-","","","",""," ","","   -340-","","","","","","","","   -341-","","","","",
