" ","","","",""," Governmental","","",,,,,,,,,,,,,,,,"  Specific",""," Domestic new"," taiwan by over-","","","","",
" ","  Item",""," Grand total","",""," 6 industries and","","",""," Chinaware etc.,","  New and","",""," Major investing"," ","  Item",""," Major investing",""," two years after"," Traditional"," Non-traditional","","","","","","","  Nursing","",
" ","","","","  Total"," major construc-"," 15 occupations","  Crewmen"," 68 industries"," 73 industries"," 6 industries"," expanded firms"," EPZ and SBIP"," 3 K industries"," manufacturing"," ","",""," construction"," 7 industries"," initial allocation"," manufacturing"," manufacturing","  timeframe"," Extra workers","  investment"," seas taiwanese","  Slaughtering","  Total","  workers","  Home-maids",
" ","","","",""," tion projects","","",,,,,,,," ","","","",""," of manufacturing","","","  industries","","  projects","  businesses","","","","",
"  99年底 ","   End of 2010","","379653","193545","2833","50","7745","168","136","104","151","5","72556","19039","  99年底 ","   End of 2010","","237","9","51167","26144","1461","11740","0","0","0","0","186108","183826","2282",
" 100年底 ","   End of 2011","","425660","227806","3313","6","8670","54","30","27","51","2","137775","11450"," 100年底 ","   End of 2011","","193","2","35892","17071","827","12443","0","0","0","0","197854","195726","2128",
" 101年底 ","   End of 2012","","445579","242885","2630","4","9313","25","22","20","38","1","181339","5038"," 101年底 ","   End of 2012","","155","2","23394","9107","405","11392","0","0","0","0","202694","200530","2164",
" 102年底 ","   End of 2013","","489134","278919","2848","4","9788","23","22","20","38","1","216678","1871"," 102年底 ","   End of 2013","","438","2","17116","4152","167","9110","16635","6","0","0","210215","208081","2134",
" 103年底 ","   End of 2014","","551596","331585","4318","4","10316","18","21","20","37","0","246416","835"," 103年底 ","   End of 2014","","482","1","15556","1725","49","6715","44435","196","441","0","220011","217858","2153",
" 104年底 ","   End of 2015","","587940","363584","6413","4","9898","9","12","13","24","0","262256","385"," 104年底 ","   End of 2015","","334","1","14502","806","9","4469","62355","859","1235","0","224356","222328","2028",
" 105年底 ","   End of 2016","","624768","387477","6185","4","10872","8","12","13","23","0","278221","224"," 105年底 ","   End of 2016","","176","1","13122","443","3","2013","72583","1017","2213","344","237291","235370","1921",
"  1月底 ","   End of Jan.","","590086","363747","6337","4","10146","9","12","13","24","0","262331","364","  1月底 ","   End of Jan.","","318","1","14397","775","7","4283","62551","871","1304","0","226339","224290","2049",
"  2月底 ","   End of Feb.","","590690","363022","6449","4","10240","9","12","13","24","0","261262","353","  2月底 ","   End of Feb.","","305","1","14206","732","7","4125","63052","873","1355","0","227668","225618","2050",
"  3月底 ","   End of Mar.","","594886","365257","6678","4","10536","9","12","13","24","0","262601","331","  3月底 ","   End of Mar.","","291","1","13880","696","6","3895","63859","888","1533","0","229629","227583","2046",
