,總計_單位數,總計_人數,農、林、漁、牧業_單位數,農、林、漁、牧業_人數,礦業及土石採取業_單位數,礦業及土石採取業_人數,製造業_單位數,製造業_人數,電力及燃氣供應業_單位數,電力及燃氣供應業_人數,用水供應及污染整治業_單位數,用水供應及污染整治業_人數,營建工程業_單位數,營建工程業_人數,批發及零售業_單位數,批發及零售業_人數,運輸及倉儲業_單位數,運輸及倉儲業_人數,住宿及餐飲業_單位數,住宿及餐飲業_人數,出版、影音製作、傳播及資通訊服務業_單位數,出版、影音製作、傳播及資通訊服務業_人數,金融及保險業_單位數,金融及保險業_人數,不動產業_單位數,不動產業_人數,專業、科學及技術服務業_單位數,專業、科學及技術服務業_人數,支援服務業_單位數,支援服務業_人數,公共行政及國防；強制性社會安全_單位數,公共行政及國防；強制性社會安全_人數,教育業_單位數,教育業_人數,醫療保健及社會工作服務業_單位數,醫療保健及社會工作服務業_人數,藝術、娛樂及休閒服務業_單位數,藝術、娛樂及休閒服務業_人數,其他服務業_單位數,其他服務業_人數
彰化縣,26009,289776,88,794,5,27,10467,171609,23,879,175,1304,1608,7381,7930,49500,224,2957,741,5815,96,1395,149,2674,341,1497,688,3640,379,4277,120,3510,811,6760,1184,20091,110,749,870,4917
南投縣,5267,63714,58,565,20,150,885,25233,11,671,49,553,529,2276,1445,9317,67,693,387,4753,32,664,64,709,102,564,203,1123,102,873,96,2177,342,2551,454,7300,51,717,370,2825
雲林縣,6594,99378,84,597,13,47,1137,50738,9,796,70,529,928,5884,1787,12592,106,1853,280,2190,35,1544,65,701,151,772,196,1387,156,1543,92,3029,437,3480,600,8313,46,623,402,2760
嘉義縣,4627,67975,47,649,2,22,1109,31751,11,121,48,303,564,3049,1417,9899,55,401,180,1473,20,2443,29,212,50,115,87,631,101,3183,69,2359,266,2796,334,6311,16,166,222,2091
屏東縣,7838,84646,155,1532,17,107,861,23706,19,759,91,880,838,4194,2597,17437,87,1582,516,5351,44,876,86,992,128,637,251,1168,162,1696,129,3518,496,3810,749,11482,88,1527,524,3392
臺東縣,2441,20059,92,331,16,210,100,597,2,22,19,375,258,1105,659,3582,39,610,247,2861,15,304,40,265,58,223,88,525,102,632,69,1607,149,988,202,3815,35,256,251,1751
花蓮縣,4722,44895,74,298,60,361,343,6276,9,271,44,438,601,3232,1377,8221,112,1227,416,4835,39,656,54,919,141,479,178,979,172,1307,90,2063,238,1503,322,7941,56,1106,396,2783
澎湖縣,972,7280,180,376,1,1,34,334,4,186,4,75,93,368,182,974,34,445,71,863,12,104,10,238,14,30,18,45,58,331,47,1282,55,294,78,787,21,98,56,449
基隆市,4448,41659,45,112,0,0,317,7086,5,623,44,464,551,3040,1211,6065,713,8770,180,1665,39,697,26,871,86,429,178,815,121,973,50,1521,221,1843,309,4966,47,450,305,1269
新竹市,9156,246390,32,334,6,49,1340,148648,7,592,100,2300,855,8104,2861,29403,105,3833,618,6518,205,4789,147,2658,347,2157,666,12176,298,7383,41,1383,441,5648,520,7023,74,946,493,2446
嘉義市,4982,46477,19,292,1,1,469,6208,7,381,19,472,430,2242,1811,11906,56,1353,366,3955,55,1100,74,1302,184,582,263,1088,154,1904,29,923,224,2422,417,8786,45,415,359,1145
金門縣,902,9406,18,43,1,1,48,1773,2,163,6,115,151,626,206,1087,58,771,50,476,6,124,8,116,50,218,31,224,61,677,48,1639,42,359,62,669,7,84,47,241
連江縣,159,1158,6,13,0,0,1,117,1,42,2,40,36,147,18,79,19,188,5,14,3,18,1,3,0,0,5,23,13,65,21,273,9,35,4,62,1,2,14,37
