年別,總計,教育程度_國中及以下,教育程度_高中職總計,教育程度_高中,教育程度_高職,教育程度_大專及以上總計,教育程度_專科,教育程度_大學,教育程度_研究所,年齡_15-24歲,年齡_25-44歲,年齡_45-64歲,年齡_65歲以上,性別_男,性別_女
67年平均Avg.1978,1.67,1.03,3.69,3.72,3.67,3.15,3.75,2.54,...,3.86,0.86,0.62,0.17,1.57,1.86
68年平均Avg.1979,1.27,0.77,2.8,2.52,2.94,2.27,2.66,1.86,...,3.25,0.56,0.41,0,1.15,1.53
69年平均Avg.1980,1.23,0.68,2.62,2.31,2.79,2.23,2.51,1.93,...,3.17,0.6,0.37,0,1.11,1.47
70年平均Avg.1981,1.36,0.81,2.72,2.25,2.97,2.23,2.57,1.86,...,3.61,0.67,0.36,0.04,1.21,1.65
71年平均Avg.1982,2.14,1.42,3.81,3.63,3.89,3.14,3.46,2.78,...,5.33,1.26,0.7,0,2.08,2.25
72年平均Avg.1983,2.71,1.78,4.69,4.43,4.81,4.04,4.6,3.42,...,6.54,1.71,1.07,0,2.68,2.76
73年平均Avg.1984,2.45,1.5,4.27,4.01,4.38,3.85,4.2,3.46,...,6.09,1.59,0.87,0.12,2.44,2.46
74年平均Avg.1985,2.91,1.91,4.78,4.48,4.9,4.22,4.68,3.65,...,7.27,1.97,1.06,0.2,2.9,2.92
75年平均Avg.1986,2.66,1.68,4.41,4.22,4.49,3.76,3.99,3.49,...,6.78,1.84,0.93,0.24,2.75,2.53
76年平均Avg.1987,1.97,1.19,3.28,3.01,3.38,2.73,2.96,2.44,...,5.45,1.28,0.61,0.12,1.96,1.97
77年平均Avg.1988,1.69,1.02,2.69,2.33,2.83,2.36,2.6,2.06,...,4.86,1.14,0.49,0.12,1.7,1.68
78年平均Avg.1989,1.57,0.96,2.45,2.46,2.44,2.11,2.31,1.85,...,4.6,1.08,0.45,0.22,1.57,1.56
79年平均Avg.1990,1.67,1.01,2.5,2.38,2.55,2.27,2.46,2.03,...,5.05,1.17,0.48,0.03,1.68,1.64
80年平均Avg.1991,1.51,0.97,2.16,2.12,2.18,2.04,2.23,1.8,...,4.56,1.11,0.45,0.11,1.5,1.53
81年平均Avg.1992,1.51,0.9,2.13,2.05,2.17,2.15,2.05,2.28,...,4.78,1.09,0.44,0.08,1.47,1.57
82年平均Avg.1993,1.45,0.84,1.91,1.82,1.95,2.18,2.25,2.07,...,4.65,1.06,0.42,0.1,1.36,1.59
83年平均Avg.1994,1.56,1,1.98,1.8,2.04,2.23,2.12,2.38,...,4.75,1.22,0.47,0.13,1.51,1.65
84年平均Avg.1995,1.79,1.18,2.25,2.12,2.29,2.42,2.35,2.52,...,5.28,1.45,0.61,0.12,1.79,1.8
85年平均Avg.1996,2.6,2.02,3,2.82,3.06,3.13,3.14,3.13,...,6.93,2.23,1.17,0.15,2.72,2.42
86年平均Avg.1997,2.72,2.45,3.02,2.89,3.06,2.76,2.85,2.63,...,6.92,2.33,1.48,0.28,2.94,2.37
87年平均Avg.1998,2.69,2.28,3.09,2.85,3.18,2.8,2.9,2.67,...,7.32,2.26,1.44,0.19,2.93,2.33
88年平均Avg.1999,2.92,2.64,3.23,2.92,3.35,2.93,3.1,2.69,...,7.34,2.54,1.65,0.29,3.23,2.46
89年平均Avg.2000,2.99,2.8,3.34,2.96,3.48,2.8,2.9,2.67,...,7.36,2.64,1.75,0.24,3.36,2.44
90年平均Avg.2001,4.57,4.71,5.12,4.86,5.21,3.72,4.03,3.32,...,10.44,4.17,2.92,0.06,5.16,3.71
91年平均Avg.2002,5.17,5.14,5.92,5.55,6.04,4.28,4.6,3.89,...,11.91,4.73,3.38,0.13,5.91,4.1
92年平均Avg.2003,4.99,5.17,5.6,5.28,5.71,4.09,4.32,3.82,...,11.44,4.47,3.76,0.14,5.51,4.25
93年平均Avg.2004,4.44,4.31,4.87,4.52,4.98,4.06,4.02,4.11,...,10.85,3.97,3.2,0.07,4.83,3.89
94年平均Avg.2005,4.13,3.76,4.54,4.44,4.57,4.01,3.78,4.23,...,10.59,3.78,2.79,0.43,4.31,3.88
95年平均Avg.2006,3.91,3.21,4.36,4.13,4.43,3.98,3.55,4.36,...,10.31,3.79,2.31,0.28,4.05,3.71
96年平均Avg.2007,3.91,3.22,4.31,3.97,4.41,4,3.36,4.51,...,10.65,3.86,2.24,0.16,4.05,3.72
97年平均Avg.2008,4.14,3.76,4.34,4.36,4.33,4.21,3.44,4.78,...,11.81,4.02,2.54,0.17,4.39,3.83
98年平均Avg.2009,5.85,5.84,6.19,6.07,6.23,5.57,4.96,5.98,...,14.49,5.93,3.9,0.13,6.53,4.96
99年平均Avg.2010,5.21,4.83,5.58,5.43,5.63,5.12,4.33,5.62,...,13.09,5.35,3.39,0.19,5.8,4.45
100年平均Avg.2011,4.39,3.69,4.66,4.75,4.63,4.51,3.4,5.79,2.97,12.47,4.46,2.64,0.15,4.71,3.96
101年平均Avg.2012,4.24,3.52,4.22,4.45,4.15,4.58,3.18,5.9,3.49,12.66,4.38,2.31,0.17,4.49,3.92
102年平均Avg.2013,4.18,3.53,4.11,4.25,4.06,4.5,3.11,5.81,3.29,13.17,4.27,2.25,0.14,4.47,3.8
103年平均Avg.2014,3.96,3.2,3.83,3.79,3.85,4.35,3.09,5.58,2.97,12.63,4.13,2.09,0.1,4.27,3.56
104年平均Avg.2015,3.78,2.77,3.83,3.8,3.84,4.13,2.75,5.34,2.94,12.05,3.95,1.99,0.14,4.05,3.44
105年平均Avg.2016,3.92,3.09,3.9,3.99,3.87,4.23,2.91,5.38,3,12.12,4.08,2.15,0.17,4.19,3.57
資料來源：行政院主計總處「人力資源調查」。,,,,,,,"Source：Directorate-GeneralofBudget,AccountingandStatistics,ExecutiveYuanManpowerSurvey"".""",,,,,,,,
說明：99年(含)以前，「大學」係含研究所者。,,,,,,,"Note：Before2010,dataofUniversity""contain""Graduateschool"".""",,,,,,,,
,,-16-,,,,,,,,,-17-,,,,
