" 表 11-4 就業服務人數－按辦理單位及職業分 ","","","","","  Table 11-4 Number of Employment Services by Institution and Occupation","","","","",""," 表 11-4 就業服務人數－按辦理單位及職業分(續1) ","","","",""," Table 11-4 Number of Employment Services by Institution and Occupation (Cont.1)  ˉ","","","","",""," 表 11-4 就業服務人數－按辦理單位及職業分(續2完) ","","","",""," Table 11-4 Number of Employment Services by Institution and Occupation (Cont.2)  ˉ","","","","","",
" ","  中華民國105年","","","  單位：人次","","","   2016","",""," Unit：Person-case"," ","  中華民國105年","","","  單位：人次","","","   2016","",""," Unit：Person-case"," ","  中華民國105年","","","  單位：人次","","","   2016","",""," Unit：Person-case",
" 項                    目                    別 "," 總         計"," 民意代表、主管 及經理人員"," 專 業 人 員"," 助理專業人員 技 術 員 及"," 事務支援人員"," 服務及銷售"," 農、林、漁、"," 技藝有關"," 機械設備操作"," 基層技術工及"," 項                    目                    別 "," 總         計"," 民意代表、主管 及經理人員"," 專 業 人 員"," 助理專業人員 技 術 員 及"," 事務支援人員"," 服務及銷售"," 農、林、漁、"," 技藝有關"," 機械設備操作"," 基層技術工及"," 項                    目                    別 "," 總         計"," 民意代表、主管 及經理人員"," 專 業 人 員"," 助理專業人員 技 術 員 及"," 事務支援人員"," 服務及銷售"," 農、林、漁、"," 技藝有關"," 機械設備操作"," 基層技術工及",
,,,,,""," 工作人員"," 牧業生產人員"," 工作人員"," 及組裝人員"," 勞力工及其他",,,,,,""," 工作人員"," 牧業生產人員"," 工作人員"," 及組裝人員"," 勞力工及其他",,,,,,""," 工作人員"," 牧業生產人員"," 工作人員"," 及組裝人員"," 勞力工及其他",
" ",""," Legislators,",""," Technicians &","  Clerical",""," Skilled agricultural,",""," Plant & machine"," Elementary"," ",""," Legislators,",""," Technicians &","  Clerical",""," Skilled agricultural,",""," Plant & machine"," Elementary"," ",""," Legislators,",""," Technicians &","  Clerical",""," Skilled agricultural,",""," Plant & machine"," Elementary",
,,,,," support workers"," Service &",""," Craft & related","","",,,,,," support workers"," Service &",""," Craft & related","","",,,,,," support workers"," Service &",""," Craft & related","","",
" ","  Grand total"," senior officials"," Professionals","  associate","","","  forestry &",""," operators &"," labourers &"," ","  Grand total"," senior officials"," Professionals","  associate","","","  forestry &",""," operators &"," labourers &"," ","  Grand total"," senior officials"," Professionals","  associate","","","  forestry &",""," operators &"," labourers &",
" Item ",""," & managers",""," professionals",""," sales workers"," fishery workers"," trades workers","  assemblers","  others"," Item ",""," & managers",""," professionals",""," sales workers"," fishery workers"," trades workers","  assemblers","  others"," Item ",""," & managers",""," professionals",""," sales workers"," fishery workers"," trades workers","  assemblers","  others",
,,,,,,,,,,,,,,,,,,,,,," 求職推介　No. of job seekers employed ","87450","2288","10122","15024","14328","8246","469","8124","5320","23529",
" 求職推介　No. of job seekers employed ","2752","85","330","642","821","180","20","156","132","386"," 求職推介　No. of job seekers employed ","6328","56","533","1573","1044","541","9","398","494","1680",,,,,,,,,,,,
" 就業人數　by employment service ","","","","",,,,,,," 就業人數　by employment service ","","","","",,,,,,," 就業人數　by employment service ","","","","",,,,,,,
" 求才僱用　No. of job openings filled ","8391","70","720","1769","1243","1557","27","458","283","2264"," 求才僱用　No. of job openings filled ","28975","33","1123","14542","1263","3417","16","1117","2217","5247"," 求才僱用　No. of job openings filled ","140764","1974","11446","47694","8328","20887","677","13987","7205","28566",
" 人數　　　by employment service ","","","","",,,,,,," 人數　　　by employment service ","","","","",,,,,,," 人數　　　by employment service ","","","","",,,,,,,
,,,,,,,,,,,,,,,,,,,,,," 勞動力發展署中彰投分署 ","","","","",,,,,,,
" 新  北  市   New Taipei City Employment ","","","","",,,,,,," 高  雄  市   Kaohsiung City Employment ","","","","",,,,,,," Regional Branch of WDA, Taichung-Changhua- ","","","","",,,,,,,
" 　　　       Services Office ","","","","",,,,,,," 　　　       Services Office ","","","","",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,," Nantou Region ","","","","",,,,,,,
" 求職人數　No. of job seekers ","22946","256","2469","3055","3808","3989","59","1016","1222","7072"," 求職人數　No. of job seekers ","56640","958","5374","7628","9263","8402","350","3583","4244","16838"," 求職人數　No. of job seekers ","96582","1441","9974","14324","15309","10729","1448","5951","5966","31440",
" 求才人數　No. of job openings ","70861","260","2921","12844","3716","32703","36","3803","3476","11102"," 求才人數　No. of job openings ","115276","1077","7686","19023","6175","29101","695","14496","7965","29058"," 求才人數　No. of job openings ","115534","1085","7605","29228","7790","15705","752","13063","9318","30988",
,,,,,,,,,,,,,,,,,,,,,," 求職推介　No. of job seekers employed ","77888","1164","7965","11483","11812","8455","1251","4848","4801","26109",
" 求職推介　No. of job seekers employed ","18265","212","1931","2454","3066","3227","45","775","895","5660"," 求職推介　No. of job seekers employed ","36243","603","3061","4851","5320","5103","220","2578","3083","11424",,,,,,,,,,,,
" 就業人數　by employment service ","","","","",,,,,,," 就業人數　by employment service ","","","","",,,,,,," 就業人數　by employment service ","","","","",,,,,,,
" 求才僱用　No. of job openings filled ","42969","160","2151","7508","2681","19311","14","2300","2285","6559"," 求才僱用　No. of job openings filled ","103718","911","6752","16480","5593","25974","652","12920","7814","26622"," 求才僱用　No. of job openings filled ","94331","808","6125","23971","6788","12466","664","10163","7575","25771",
" 人數　　　by employment service ","","","","",,,,,,," 人數　　　by employment service ","","","","",,,,,,," 人數　　　by employment service ","","","","",,,,,,,
,,,,,,,,,,,,,,,,,,,,,," 勞動力發展署雲嘉南分署 ","","","","",,,,,,,
" 臺  北  市   Taipei City Employment ","","","","",,,,,,," 縣市就業   City/Country Employment ","","","","",,,,,,," Regional Branch of WDA, Yunlin-Chiayiu- ","","","","",,,,,,,
" 　　　       Services Office ","","","","",,,,,,," 服務據點   Service Stations ","","","","",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,," Tainan Region ","","","","",,,,,,,
" 求職人數　No. of job seekers ","54651","4394","12214","10697","11670","7319","148","1179","1287","5743"," 求職人數　No. of job seekers ","12075","55","801","1267","1521","1168","141","660","639","5823"," 求職人數　No. of job seekers ","121128","1306","9679","16360","17895","13964","994","7544","7173","46213",
